Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_G2_Nitrate_Int_2011_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.198595247
Long,115.684830758
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,G2
Site Description,Garden Island central HMAS Stirling
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00026
Data Classification,WQ Grab
Sampling Rate (min),10752.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Nitrate (mg/L)
QC,String
