Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS7_Chlorophyll-a_Int_2003_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.170702535
Long,115.762482702
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS7
Site Description,Jervoise Channel south of Southern Harbour
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00014
Data Classification,WQ Grab
Sampling Rate (min),-61866296.4706
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-a (µg/l)
QC,String
