Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_NC_Total_Nitrogen_Int_2002_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.139401203
Long,115.652974480
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,NC
Site Description,North Control removed 1/12/2002
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00009
Data Classification,WQ Grab
Sampling Rate (min),10080.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Total Nitrogen (mg/L)
QC,String
