Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS10_fluorescence_Bottom_2015_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.256500246
Long,115.740863764
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS10
Site Description,Changed position from 2004/05 now CS1ON
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00219
Data Classification,WQ Grab
Sampling Rate (min),10464.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,fluorescence (-)
QC,String
