Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_WS4_Oxygen_Surface_2005_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.336946025
Long,115.722166715
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,WS4
Site Description,Warnbro Sound central basin
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00023
Data Classification,WQ Grab
Sampling Rate (min),10080.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Oxygen (mg/L)
QC,String
