Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS11_Organic_Nitrogen_Int_1983_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.262401413
Long,115.714178020
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS11
Site Description,Mangles Bay deep water basin
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00004
Data Classification,WQ Grab
Sampling Rate (min),10080.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Organic Nitrogen (mg/L)
QC,String
