Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS4_pH_Surface_2006_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.154551146
Long,115.693840605
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS4
Site Description,Cockburn Sound northern end deep
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00137
Data Classification,WQ Grab
Sampling Rate (min),10752.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,pH ()
QC,String
