Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CB_Filterable_Reactive_Phosphate_Int_2007_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.182802691
Long,115.739089661
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CB
Site Description,Challenger Beach bank
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00027
Data Classification,WQ Grab
Sampling Rate (min),11520.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Filterable Reactive Phosphate (mg/L)
QC,String
