Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_G3_Chlorophyll-b_Int_2012_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.157758192
Long,115.682119854
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,G3
Site Description,Garden Island north HMAS Stirling
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00131
Data Classification,WQ Grab
Sampling Rate (min),10752.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-b (µg/L)
QC,String
