Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS10N_Total_Suspended_Solids_Int_2012_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.255330528
Long,115.742971151
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS10N
Site Description,Bulk Grain Terminal (CBH)(replaced CS10)
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00012
Data Classification,WQ Grab
Sampling Rate (min),10752.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Total Suspended Solids (mg/L)
QC,String
