Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS9_light_attenuation_coefficient_Int_2000_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.209850521
Long,115.759565504
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS9
Site Description,Kwinana Bulk Terminal (KBB2)
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00216
Data Classification,WQ Grab
Sampling Rate (min),10710.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,light attenuation coefficient (m-1)
QC,String
