AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program,Depth
wwmsp2sg_CervantesIsland,CervantesIsland,Cervantes Island,Cervantes Island,-1,-1,-30.52935,115.0485,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-4.2
wwmsp2sg_Coogee,Coogee,Coogee,Coogee,-1,-1,-32.11173,115.76136,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-4.9
wwmsp2sg_Dunsborough,Dunsborough,Dunsborough,Dunsborough,-1,-1,-33.61654,115.12865,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-3.6
wwmsp2sg_FishermansIsland2.5,FishermansIsland2.5,Fishermans Island 2.5,Fishermans Island 2.5,-1,-1,-30.13472,114.99792,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-3
wwmsp2sg_FishermansIsland3.5,FishermansIsland3.5,Fishermans Island 3.5,Fishermans Island 3.5,-1,-1,-30.12717,114.99594,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-4.7
wwmsp2sg_FishermansIsland5.5,FishermansIsland5.5,Fishermans Island 5.5,Fishermans Island 5.5,-1,-1,-30.13702,114.9912,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-4.2
wwmsp2sg_ForrestBeach,ForrestBeach,Forrest Beach,Forrest Beach,-1,-1,-33.57295,115.44908,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,0,WWMSP2.2 SG,-4.6
wwmsp2sg_GardenIsland2.0m,GardenIsland2.0m,Garden Island 2.0m,Garden Island 2.0m,-1,-1,-32.15816,115.67134,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-2
wwmsp2sg_GardenIsland2.5m,GardenIsland2.5m,Garden Island 2.5m,Garden Island 2.5m,-1,-1,-32.15985,115.6716,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-2.4
wwmsp2sg_GardenIsland3.2m,GardenIsland3.2m,Garden Island 3.2m,Garden Island 3.2m,-1,-1,-32.15979,115.67257,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-3.1
wwmsp2sg_GardenIsland5.5m,GardenIsland5.5m,Garden Island 5.5m,Garden Island 5.5m,-1,-1,-32.16018,115.67949,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-4.6
wwmsp2sg_GardenIsland7.0m,GardenIsland7.0m,Garden Island 7.0m,Garden Island 7.0m,-1,-1,-32.15908,115.68062,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,-6.8
wwmsp2sg_GardenIslandDepthTransectNorth,GardenIslandDepthTransectNorth,Garden Island Depth Transect - North,Garden Island Depth Transect - North,-1,-1,-32.1589637,115.6808622,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,
wwmsp2sg_GardenIslandDepthTransectSouth,GardenIslandDepthTransectSouth,Garden Island Depth Transect - South,Garden Island Depth Transect - South,-1,-1,-32.20289502,115.687114,WWMSP,WAMSI Westport Marine Science Program,ECO_benthic,Seagrass & Macroalgae,,1,WWMSP2.2 SG,
