Agency_Name,Program_Name,Station_ID,Site_Description,Tag,mAHD,Lat,Lon,Label
Water Corporation,PSDP-1.2,A10,A10,WC-BMT,-16.7958,-32.2071,115.741,A10
Water Corporation,PSDP-1.2,A13,A13,WC-BMT,-15.1848,-32.2088,115.7433,A13
Water Corporation,PSDP-1.2,A4,A4,WC-BMT,-16.7545,-32.202,115.7413,A4
Water Corporation,PSDP-1.2,A7,A7,WC-BMT,-16.9573,-32.2045,115.7402,A7
Water Corporation,PSDP-1.2,B10,B10,WC-BMT,-18.4898,-32.2072,115.7353,B10
Water Corporation,PSDP-1.2,B4,B4,WC-BMT,-18.2905,-32.1994,115.7369,B4
Water Corporation,PSDP-1.2,B6,B6,WC-BMT,-18.4767,-32.2018,115.7355,B6
Water Corporation,PSDP-1.2,B8,B8,WC-BMT,-18.6479,-32.2045,115.7349,B8
Water Corporation,PSDP-1.2,C10,C10,WC-BMT,-19.1863,-32.2085,115.7303,C10
Water Corporation,PSDP-1.2,C4,C4,WC-BMT,-18.8727,-32.1972,115.7323,C4
Water Corporation,PSDP-1.2,C6,C6,WC-BMT,-19.1107,-32.2007,115.7303,C6
Water Corporation,PSDP-1.2,C8,C8,WC-BMT,-19.5736,-32.2046,115.7296,C8
Water Corporation,PSDP-1.2,CT3,CT3,WC-BMT,-21.0794,-32.2151,115.7204,CT3
Water Corporation,PSDP-1.2,CT7,CT7,WC-BMT,-21.0830,-32.1901,115.7103,CT7
Water Corporation,PSDP-1.2,D10,D10,WC-BMT,-20.4960,-32.2051,115.7243,D10
Water Corporation,PSDP-1.2,D12,D12,WC-BMT,-20.1530,-32.2101,115.7253,D12
Water Corporation,PSDP-1.2,D6,D6,WC-BMT,-19.5935,-32.1955,115.7273,D6
Water Corporation,PSDP-1.2,D8,D8,WC-BMT,-19.7112,-32.2001,115.725,D8
Water Corporation,PSDP-1.2,R2,R3,WC-BMT,-14.8748,-32.2041,115.7439,R2
Water Corporation,PSDP-1.2,S2,S2,WC-BMT,-13.1559,-32.2051,115.7504,S2
Water Corporation,PSDP-1.2,S3,S3,WC-BMT,-12.9468,-32.2048,115.7467,S3
Water Corporation,PSDP-1.2,centralbuoy,Central buoy,WC-BMT,-21.7623,-32.1911,115.7031,centralbuoy
Water Corporation,PSDP-1.2,northbuoy,North buoy,WC-BMT,-21.8264,-32.1586,115.6973,northbuoy
Water Corporation,PSDP-1.2,southbuoy,South buoy,WC-BMT,-19.2908,-32.2509,115.7275,southbuoy
