Agency_Name,Agency_Code,Program_Name,Program_Code,Tag,Data_File_Name,Data_File_Location,Status,Lat,Lon,Time_Zone,Vertical_Datum,Station_ID,Site_Description,Deployment,Deployment_Position,Vertical_Reference,Site_Mean_Depth,Bad_Data_Code,Email,Variable_ID,DataCategory,Sampling_Rate,Date_Format,Depth_Format,Variable_Name,QC_Code,X,Y,calc_SMD,mAHD
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CB_Ammonium_Int_2003_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.182802691,115.739089661,GMT +8,mAHD,CB,Challenger Beach bank,Integrated,Water Column,Water Surface,9.3,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,381132.999976911,6438604.9999676,10.2600,-10.2600
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS10_Ammonium_Int_1983_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.256500246,115.740863764,GMT +8,mAHD,CS10,Changed position from 2004/05 now CS1ON,Integrated,Water Column,Water Surface,19.2,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,381396.000005571,6430436.99994739,17.6492,-17.6492
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS10N_Ammonium_Int_2003_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.255330528,115.742971151,GMT +8,mAHD,CS10N,Bulk Grain Terminal (CBH)(replaced CS10),Integrated,Water Column,Water Surface,14,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,381592.999987917,6430568.99997018,12.0181,-12.0181
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS10S_Ammonium_Int_1993_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.255330528,115.742971151,GMT +8,mAHD,CS10S,Bulk Grain Terminal (CBH)(replaced CS10),Integrated,Water Column,Water Surface,14,NaN,,var00025,Water Quality (Nutrient),8529.2308,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,381592.999987917,6430568.99997018,12.0181,-12.0181
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS11_Ammonium_Int_1983_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.262401413,115.71417802,GMT +8,mAHD,CS11,Mangles Bay deep water basin,Integrated,Water Column,Water Surface,18,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,378889.999982075,6429753.00000032,18.1561,-18.1561
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS11S_Ammonium_Int_1993_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.262401413,115.71417802,GMT +8,mAHD,CS11S,Mangles Bay deep water basin,Integrated,Water Column,Water Surface,18,NaN,,var00025,Water Quality (Nutrient),8529.2308,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,378889.999982075,6429753.00000032,18.1561,-18.1561
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS12_Ammonium_Int_2007_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.197797559,115.76587156,GMT +8,mAHD,CS12,Calista Channel WC Desalination Plant,Integrated,Water Column,Water Surface,10,NaN,,var00025,Water Quality (Nutrient),11520.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,383677.000033435,6436972.00004823,10.4978,-10.4978
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS13_Ammonium_Int_2009_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.250808956,115.728321217,GMT +8,mAHD,CS13,Cockburn Sound southern deep water,Integrated,Water Column,Water Surface,20.4,NaN,,var00025,Water Quality (Nutrient),11424.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,380206.999988273,6431053.99995873,19.1526,-19.1526
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS4_Ammonium_Int_1983_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.154551146,115.693840605,GMT +8,mAHD,CS4,Cockburn Sound northern end deep,Integrated,Water Column,Water Surface,20.9,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,376828.999973297,6441685.99998083,21.3088,-21.3088
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS5_Ammonium_Int_1983_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.152366474,115.720157614,GMT +8,mAHD,CS5,Cockburn Sound northern end deep,Integrated,Water Column,Water Surface,18.9,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,379307.99998272,6441957.99997395,19.3144,-19.3144
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS5S_Ammonium_Int_1993_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.152366474,115.720157614,GMT +8,mAHD,CS5S,Cockburn Sound northern end deep,Integrated,Water Column,Water Surface,18.9,NaN,,var00025,Water Quality (Nutrient),8529.2308,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,379307.99998272,6441957.99997395,19.3144,-19.3144
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS6_Ammonium_Int_1983_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.146479719,115.756724048,GMT +8,mAHD,CS6,Changed position from 1997/98 now CS6A,Integrated,Water Column,Water Surface,10,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,382749.000021473,6442650.99996744,10.8501,-10.8501
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS6A_Ammonium_Int_1998_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.146479719,115.756724048,GMT +8,mAHD,CS6A,Outside Northern Harbour,Integrated,Water Column,Water Surface,10.5,NaN,,var00025,Water Quality (Nutrient),11340.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,382749.000021473,6442650.99996744,10.8501,-10.8501
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS6S_Ammonium_Int_1993_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.146479719,115.756724048,GMT +8,mAHD,CS6S,Outside Northern Harbour,Integrated,Water Column,Water Surface,10.5,NaN,,var00025,Water Quality (Nutrient),8529.2308,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,382749.000021473,6442650.99996744,10.8501,-10.8501
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS7_Ammonium_Int_1983_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.170702535,115.762482702,GMT +8,mAHD,CS7,Jervoise Channel south of Southern Harbour,Integrated,Water Column,Water Surface,10.7,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,383323.000017785,6439972.0000343,11.1732,-11.1732
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS7S_Ammonium_Int_1993_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.170702535,115.762482702,GMT +8,mAHD,CS7S,Jervoise Channel south of Southern Harbour,Integrated,Water Column,Water Surface,10.7,NaN,,var00025,Water Quality (Nutrient),8529.2308,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,383323.000017785,6439972.0000343,11.1732,-11.1732
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS8_Ammonium_Int_1983_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.197565326,115.719832875,GMT +8,mAHD,CS8,Cockburn Sound central basin,Integrated,Water Column,Water Surface,19.9,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,379337.000023485,6436946.99994679,20.3222,-20.3222
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS8S_Ammonium_Int_1993_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.197565326,115.719832875,GMT +8,mAHD,CS8S,Cockburn Sound central basin,Integrated,Water Column,Water Surface,19.9,NaN,,var00025,Water Quality (Nutrient),8529.2308,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,379337.000023485,6436946.99994679,20.3222,-20.3222
Cockburn Sound Management Council,CSMC,Cockburn Sound Marine Water Quality Monitoring,CSMC-WQ,CSMC-WQ,mafrl_CS9_Ammonium_Int_1983_DATA.csv,data-warehouse/csv/csmc/csmwq-wq,Inactive,-32.209850521,115.759565504,GMT +8,mAHD,CS9,Kwinana Bulk Terminal (KBB2),Integrated,Water Column,Water Surface,13,NaN,,var00025,Water Quality (Nutrient),10080.0000,yyyy-mm-dd HH:MM:SS,Decimal,Ammonium (mg/L),String,383098.000031679,6435628.99999166,12.4997,-12.4997
