SWAN_AWAC1,SWAN_AWAC1,SWAN_AWAC1,,,,-32.079398,115.704160
SWAN_AWAC2,SWAN_AWAC2,SWAN_AWAC2,,,,-32.095191,115.679512
SWAN_Cath1,SWAN_Cath1,SWAN_Cath1,,,,-32.078775,115.728092
SWAN_Cath2,SWAN_Cath2,SWAN_Cath2,,,,-32.090541,115.745646
SWAN_DC,SWAN_DC,SWAN_DC,,,,-31.977779,115.686667
SWAN_Stirling,SWAN_Stirling,SWAN_Stirling,,,,-32.203214,115.744336
SWAN_Parmelia,SWAN_Parmelia,SWAN_Parmelia,,,,-32.130005,115.701664
SWAN_Rottnest,SWAN_Rottnest,SWAN_Rottnest,,,,-32.094167,115.407778
SWAN_S01,SWAN_S01,SWAN_S01,,,,-32.200942,115.762710
SWAN_S02,SWAN_S02,SWAN_S02,,,,-32.180925,115.730832
