AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program
uwa_matilda,Matilda,Matilda,Matilda,-1,-1,-31.9822,115.8211,UWA,University of Western Australia,MET,Weather stations,,,UWA AED
bom9240,9240,Bickley,Bickley,-1,-1,-32.0072,116.1369,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9256,9256,Garden Island Hsf,Garden Island Hsf,-1,-1,-32.2433,115.6839,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9265,9265,Hillarys Boat Harbour Ntc Aws,Hillarys Boat Harbour Ntc Aws,-1,-1,-31.8256,115.7386,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY&IDO
bom9281,9281,Millendon (Swan Valley),Millendon (Swan Valley),-1,-1,-31.8112,116.0227,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9053,9053,Pearce Raaf,Pearce Raaf,-1,-1,-31.6669,116.0189,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9021,9021,Perth Airport,Perth Airport,-1,-1,-31.9275,115.9764,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9225,9225,Perth Metro,Perth Metro,-1,-1,-31.9192,115.8728,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9193,9193,Rottnest Island,Rottnest Island,-1,-1,-32.0069,115.5022,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9215,9215,Swanbourne,Swanbourne,-1,-1,-31.956,115.7619,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9254,9254,Armament Jetty,Armament Jetty,-1,-1,-32.1758,115.6808,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9255,9255,Colpoys Point,Colpoys Point,-1,-1,-32.2272,115.6994,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9178,9178,Gingin Aero,Gingin Aero,-1,-1,-31.4628,115.8642,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9091,9091,Inner Dolphin Pylon,Inner Dolphin Pylon,-1,-1,-31.9889,115.8311,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9172,9172,Jandakot Aero,Jandakot Aero,-1,-1,-32.1011,115.8794,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9214,9214,Ocean Reef,Ocean Reef,-1,-1,-31.7594,115.7278,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
wwmsp5_CCL,CCL,Cockburn Cement,CCL,-1,-1,-32.132847,115.746858,WWMSP5.1,WAMSI Westport Marine Science Program,MET,Weather stations,,,WWMSP5.1
dpird_WN,WN,Wanneroo,WN,-1,-1,-31.582445,115.69576,DPIRD,Department of Primary Industries and Regional Development,MET,Weather stations,,,DPIRD AWS
dpird_FL,FL,Floreat Park,FL,-1,-1,-31.952196,115.790291,DPIRD,Department of Primary Industries and Regional Development,MET,Weather stations,,,DPIRD AWS
dpird_SP,SP,South Perth,SP,-1,-1,-31.992788,115.88552,DPIRD,Department of Primary Industries and Regional Development,MET,Weather stations,,,DPIRD AWS
dpird_BG001,BG001,Kings Park,BG001,-1,-1,-31.956724,115.837902,DPIRD,Department of Primary Industries and Regional Development,MET,Weather stations,,,DPIRD AWS
dpird_WT001,WT001,Wattleup,WT001,-1,-1,-32.164072,115.832533,DPIRD,Department of Primary Industries and Regional Development,MET,Weather stations,,,DPIRD AWS
bom9977,9977,Mandurah 1,Mandurah 1,-1,-1,-32.5219,115.7119,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9887,9887,Mandurah 2,Mandurah 2,-1,-1,-32.5211,115.75,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
bom9572,9572,Halls Head,Halls Head,-1,-1,-32.5385,115.7002,BOM,Bureau of Meteorology,MET,Weather stations,,,BOM IDY
