date,tide,residual,predicted
23/06/2022 12:45,0.95,3,0.92
23/06/2022 13:00,0.87,-5,0.92
23/06/2022 13:30,0.94,4,0.90
23/06/2022 14:00,0.84,-5,0.89
23/06/2022 14:45,0.81,-6,0.87
23/06/2022 15:15,0.73,-12,0.85
23/06/2022 15:30,0.78,-7,0.85
23/06/2022 15:45,0.82,-2,0.84
23/06/2022 16:00,0.79,-5,0.84
23/06/2022 16:30,0.80,-3,0.83
23/06/2022 16:45,0.81,-2,0.83
23/06/2022 17:00,0.75,-8,0.83
23/06/2022 17:30,0.75,-7,0.82
23/06/2022 17:45,0.71,-11,0.82
23/06/2022 18:30,0.77,-5,0.82
23/06/2022 18:45,0.73,-9,0.82
23/06/2022 19:00,0.78,-4,0.82
23/06/2022 19:15,0.76,-6,0.82
23/06/2022 19:45,0.74,-8,0.82
23/06/2022 20:15,0.75,-7,0.82
23/06/2022 20:45,0.74,-9,0.83
23/06/2022 21:00,0.82,-1,0.83
23/06/2022 21:30,0.86,2,0.84
23/06/2022 21:45,0.80,-4,0.84
23/06/2022 22:15,0.81,-5,0.86
23/06/2022 22:30,0.83,-4,0.87
23/06/2022 23:00,0.88,0,0.88
23/06/2022 23:15,0.86,-3,0.89
23/06/2022 23:45,0.82,-8,0.90
