date,tide,residual,predicted
15/04/2022 00:00,0.76,-12,0.88
15/04/2022 00:15,0.74,-12,0.86
15/04/2022 00:30,0.67,-17,0.84
15/04/2022 00:45,0.71,-11,0.82
15/04/2022 01:00,0.69,-11,0.80
15/04/2022 01:15,0.68,-10,0.78
15/04/2022 01:30,0.65,-12,0.77
15/04/2022 02:15,0.64,-10,0.74
15/04/2022 02:30,0.58,-15,0.73
15/04/2022 02:45,0.64,-8,0.72
15/04/2022 03:15,0.60,-12,0.72
15/04/2022 03:45,0.63,-9,0.72
15/04/2022 04:00,0.63,-10,0.73
15/04/2022 04:15,0.66,-8,0.74
15/04/2022 04:30,0.65,-10,0.75
15/04/2022 04:45,0.66,-10,0.76
15/04/2022 05:00,0.67,-10,0.77
15/04/2022 05:15,0.65,-14,0.79
15/04/2022 05:30,0.71,-9,0.80
15/04/2022 05:45,0.70,-12,0.82
15/04/2022 06:00,0.72,-11,0.83
15/04/2022 06:15,0.77,-7,0.84
15/04/2022 06:30,0.78,-8,0.86
15/04/2022 07:00,0.78,-11,0.89
15/04/2022 07:30,0.87,-5,0.92
15/04/2022 07:45,0.84,-10,0.94
15/04/2022 08:00,0.81,-14,0.95
15/04/2022 08:30,0.91,-7,0.98
15/04/2022 09:00,0.89,-10,0.99
15/04/2022 09:30,0.88,-12,1.00
15/04/2022 09:45,0.91,-9,1.00
15/04/2022 10:00,0.93,-7,1.00
15/04/2022 10:15,0.92,-8,1.00
15/04/2022 10:30,0.92,-8,1.00
15/04/2022 10:45,0.92,-7,0.99
15/04/2022 11:00,0.93,-5,0.98
15/04/2022 11:15,0.91,-6,0.97
15/04/2022 11:30,0.90,-6,0.96
15/04/2022 12:00,0.84,-10,0.94
15/04/2022 12:15,0.84,-8,0.92
15/04/2022 12:30,0.80,-10,0.90
15/04/2022 13:00,0.76,-11,0.87
15/04/2022 13:15,0.80,-6,0.86
15/04/2022 13:30,0.82,-2,0.84
15/04/2022 13:45,0.79,-4,0.83
15/04/2022 14:00,0.77,-5,0.82
15/04/2022 14:15,0.74,-8,0.82
15/04/2022 14:30,0.71,-10,0.81
15/04/2022 14:45,0.71,-9,0.80
15/04/2022 15:00,0.69,-11,0.80
15/04/2022 15:15,0.66,-14,0.80
15/04/2022 15:30,0.72,-8,0.80
15/04/2022 15:45,0.73,-7,0.80
15/04/2022 16:00,0.75,-5,0.80
15/04/2022 16:15,0.79,-2,0.81
15/04/2022 16:30,0.79,-3,0.82
15/04/2022 16:45,0.77,-5,0.82
15/04/2022 17:15,0.79,-5,0.84
15/04/2022 17:30,0.81,-5,0.86
15/04/2022 17:45,0.84,-3,0.87
15/04/2022 18:00,0.81,-7,0.88
15/04/2022 18:15,0.83,-6,0.89
15/04/2022 18:45,0.90,-1,0.91
15/04/2022 19:15,0.92,-2,0.94
15/04/2022 19:45,0.96,0,0.96
15/04/2022 20:15,0.94,-4,0.98
15/04/2022 20:45,0.99,-1,1.00
15/04/2022 21:00,0.98,-2,1.00
15/04/2022 21:15,1.00,0,1.00
15/04/2022 21:30,1.05,5,1.00
15/04/2022 21:45,1.04,4,1.00
15/04/2022 22:15,1.00,0,1.00
15/04/2022 22:45,0.94,-4,0.98
15/04/2022 23:00,0.91,-6,0.97
15/04/2022 23:45,0.92,-1,0.93
