date,tide,residual,predicted
28/09/2022 23:30,0.97,1,0.96
29/09/2022 00:15,0.97,2,0.95
29/09/2022 00:45,0.91,-2,0.93
29/09/2022 01:00,0.91,-1,0.92
29/09/2022 01:15,0.92,2,0.90
29/09/2022 01:45,0.87,1,0.86
29/09/2022 02:15,0.84,3,0.81
29/09/2022 02:45,0.75,-1,0.76
29/09/2022 03:15,0.70,-1,0.71
29/09/2022 03:30,0.68,-1,0.69
29/09/2022 03:45,0.66,-1,0.67
29/09/2022 04:15,0.65,1,0.64
29/09/2022 04:30,0.63,1,0.62
29/09/2022 04:45,0.63,2,0.61
29/09/2022 05:00,0.64,4,0.60
29/09/2022 05:15,0.64,4,0.60
29/09/2022 05:30,0.60,1,0.59
29/09/2022 05:45,0.58,-1,0.59
29/09/2022 06:00,0.59,0,0.59
29/09/2022 06:30,0.57,-2,0.59
29/09/2022 06:45,0.56,-3,0.59
29/09/2022 07:00,0.59,-1,0.60
29/09/2022 07:15,0.60,0,0.60
29/09/2022 07:30,0.59,-1,0.60
29/09/2022 07:45,0.65,5,0.60
29/09/2022 08:15,0.62,2,0.60
29/09/2022 08:30,0.61,0,0.61
29/09/2022 08:45,0.61,0,0.61
29/09/2022 09:00,0.62,0,0.62
29/09/2022 09:30,0.58,-5,0.63
29/09/2022 09:45,0.64,0,0.64
29/09/2022 10:00,0.68,3,0.65
29/09/2022 10:30,0.69,2,0.67
29/09/2022 10:45,0.70,3,0.67
29/09/2022 11:15,0.71,4,0.67
29/09/2022 11:30,0.68,0,0.68
29/09/2022 12:00,0.69,1,0.68
29/09/2022 12:15,0.68,0,0.68
29/09/2022 12:30,0.69,0,0.69
29/09/2022 12:45,0.70,1,0.69
29/09/2022 13:00,0.71,2,0.69
29/09/2022 13:15,0.73,4,0.69
29/09/2022 13:45,0.70,1,0.69
29/09/2022 14:00,0.71,3,0.68
29/09/2022 14:30,0.70,3,0.67
29/09/2022 14:45,0.67,0,0.67
29/09/2022 15:15,0.66,0,0.66
29/09/2022 15:30,0.69,3,0.66
29/09/2022 16:00,0.73,7,0.66
29/09/2022 16:15,0.71,5,0.66
29/09/2022 16:45,0.72,4,0.68
29/09/2022 17:00,0.71,2,0.69
29/09/2022 17:30,0.72,1,0.71
29/09/2022 17:45,0.74,1,0.73
29/09/2022 18:00,0.79,4,0.75
29/09/2022 18:15,0.83,7,0.76
29/09/2022 18:30,0.86,8,0.78
29/09/2022 19:00,0.88,6,0.82
29/09/2022 19:15,0.92,8,0.84
29/09/2022 19:30,0.96,10,0.86
29/09/2022 19:45,0.94,6,0.88
29/09/2022 20:15,0.97,6,0.91
29/09/2022 20:30,0.95,3,0.92
29/09/2022 20:45,0.98,5,0.93
29/09/2022 21:00,1.00,5,0.95
29/09/2022 21:45,1.04,6,0.98
29/09/2022 22:30,1.03,2,1.01
29/09/2022 23:00,1.09,7,1.02
29/09/2022 23:30,1.04,3,1.01
