date,tide,residual,predicted
31/07/2022 00:00,0.86,8,0.78
31/07/2022 00:15,0.88,10,0.78
31/07/2022 00:30,0.83,5,0.78
31/07/2022 01:00,0.82,3,0.79
31/07/2022 02:00,0.84,5,0.79
31/07/2022 02:15,0.84,5,0.79
31/07/2022 02:30,0.83,4,0.79
31/07/2022 02:45,0.88,9,0.79
31/07/2022 03:15,0.84,5,0.79
31/07/2022 03:30,0.84,5,0.79
31/07/2022 03:45,0.82,2,0.80
31/07/2022 04:00,0.84,4,0.80
31/07/2022 04:30,0.90,7,0.83
31/07/2022 04:45,0.91,7,0.84
31/07/2022 05:00,0.94,8,0.86
31/07/2022 05:15,0.92,5,0.87
31/07/2022 05:45,0.99,9,0.90
31/07/2022 06:00,0.98,6,0.92
31/07/2022 06:15,0.97,3,0.94
31/07/2022 06:30,1.06,10,0.96
31/07/2022 06:45,1.06,8,0.98
31/07/2022 07:00,1.09,9,1.00
31/07/2022 07:15,1.10,8,1.02
31/07/2022 07:30,1.11,8,1.03
31/07/2022 07:45,1.16,11,1.05
31/07/2022 08:30,1.20,11,1.09
31/07/2022 08:45,1.24,13,1.11
31/07/2022 09:15,1.22,9,1.13
31/07/2022 09:30,1.22,8,1.14
31/07/2022 09:45,1.24,9,1.15
31/07/2022 10:00,1.28,12,1.16
31/07/2022 10:15,1.25,9,1.16
31/07/2022 10:30,1.27,11,1.16
31/07/2022 10:45,1.27,11,1.16
31/07/2022 11:15,1.25,10,1.15
31/07/2022 11:30,1.23,9,1.14
31/07/2022 11:45,1.20,6,1.14
31/07/2022 12:00,1.23,10,1.13
31/07/2022 12:15,1.19,7,1.12
31/07/2022 12:45,1.19,10,1.09
31/07/2022 13:00,1.20,13,1.07
31/07/2022 13:30,1.14,11,1.03
31/07/2022 14:00,1.08,10,0.98
31/07/2022 14:15,1.11,15,0.96
31/07/2022 14:30,1.01,8,0.93
31/07/2022 14:45,0.98,7,0.91
31/07/2022 15:00,0.94,6,0.88
31/07/2022 15:15,0.97,12,0.85
31/07/2022 15:30,0.96,13,0.83
31/07/2022 15:45,0.88,8,0.80
31/07/2022 16:15,0.85,9,0.76
31/07/2022 16:30,0.82,8,0.74
31/07/2022 16:45,0.79,6,0.73
31/07/2022 17:00,0.80,9,0.71
31/07/2022 17:15,0.81,11,0.70
31/07/2022 17:30,0.82,13,0.69
31/07/2022 17:45,0.78,10,0.68
31/07/2022 18:00,0.79,12,0.67
31/07/2022 18:30,0.80,13,0.67
31/07/2022 18:45,0.76,9,0.67
31/07/2022 19:15,0.78,11,0.67
31/07/2022 19:45,0.78,11,0.67
31/07/2022 20:00,0.78,10,0.68
31/07/2022 20:15,0.80,12,0.68
31/07/2022 20:30,0.84,16,0.68
31/07/2022 20:45,0.74,5,0.69
31/07/2022 21:15,0.91,21,0.70
31/07/2022 21:30,0.87,15,0.72
31/07/2022 21:45,0.92,20,0.72
31/07/2022 22:00,0.92,18,0.74
31/07/2022 22:30,0.92,17,0.75
31/07/2022 23:00,0.90,13,0.77
31/07/2022 23:15,0.95,17,0.78
31/07/2022 23:30,0.96,18,0.78
31/07/2022 23:45,0.98,19,0.79
