date,tide,residual,predicted
19/02/2022 00:00,1.27,27,1.00
19/02/2022 00:30,1.24,27,0.97
19/02/2022 01:00,1.16,22,0.94
19/02/2022 01:15,1.17,25,0.92
19/02/2022 01:30,1.16,26,0.90
19/02/2022 01:45,1.16,29,0.87
19/02/2022 02:00,1.12,28,0.84
19/02/2022 02:15,1.08,26,0.82
19/02/2022 02:30,1.06,27,0.79
19/02/2022 02:45,1.03,27,0.76
19/02/2022 03:00,1.00,26,0.74
19/02/2022 03:15,0.94,23,0.71
19/02/2022 03:30,0.93,24,0.69
19/02/2022 03:45,0.92,25,0.67
19/02/2022 04:00,0.89,24,0.65
19/02/2022 04:45,0.87,27,0.60
19/02/2022 05:00,0.85,26,0.59
19/02/2022 05:15,0.84,26,0.58
19/02/2022 05:30,0.87,29,0.58
19/02/2022 05:45,0.83,26,0.57
19/02/2022 06:00,0.82,25,0.57
19/02/2022 06:15,0.81,24,0.57
19/02/2022 06:30,0.81,23,0.58
19/02/2022 07:00,0.84,25,0.59
19/02/2022 07:15,0.89,29,0.60
19/02/2022 07:45,0.89,27,0.62
19/02/2022 08:00,0.89,27,0.62
19/02/2022 08:15,0.88,25,0.63
19/02/2022 08:45,0.90,24,0.66
19/02/2022 09:00,0.90,23,0.67
19/02/2022 09:30,0.95,25,0.70
19/02/2022 09:45,0.97,25,0.72
19/02/2022 10:15,1.01,26,0.75
19/02/2022 10:45,0.98,21,0.77
19/02/2022 11:00,1.01,23,0.78
19/02/2022 11:15,1.04,25,0.79
19/02/2022 11:30,1.05,26,0.79
19/02/2022 11:45,1.06,26,0.80
19/02/2022 12:00,1.07,27,0.80
19/02/2022 12:30,1.07,25,0.82
19/02/2022 12:45,1.06,24,0.82
19/02/2022 13:00,1.04,22,0.82
19/02/2022 13:45,1.03,23,0.80
19/02/2022 14:00,1.04,24,0.80
19/02/2022 14:15,1.05,26,0.79
19/02/2022 14:45,1.03,26,0.77
19/02/2022 15:15,0.97,22,0.75
19/02/2022 15:30,1.03,28,0.75
19/02/2022 16:00,0.99,25,0.74
19/02/2022 16:15,1.03,29,0.74
19/02/2022 16:45,1.00,26,0.74
19/02/2022 17:00,0.97,23,0.74
19/02/2022 17:30,0.99,23,0.76
19/02/2022 17:45,1.00,23,0.77
19/02/2022 18:15,1.10,31,0.79
19/02/2022 18:45,1.09,28,0.81
19/02/2022 19:15,1.12,28,0.84
19/02/2022 19:45,1.15,29,0.86
19/02/2022 20:00,1.16,29,0.87
19/02/2022 20:15,1.14,26,0.88
19/02/2022 20:45,1.16,26,0.90
19/02/2022 21:00,1.18,27,0.91
19/02/2022 21:15,1.23,31,0.92
19/02/2022 21:45,1.24,30,0.94
19/02/2022 22:00,1.25,31,0.94
19/02/2022 22:30,1.23,27,0.96
19/02/2022 23:00,1.22,26,0.96
19/02/2022 23:30,1.23,28,0.95
