date,tide,residual,predicted
14/03/2022 23:45,1.03,21,0.82
15/03/2022 00:00,1.04,25,0.79
15/03/2022 00:15,1.02,25,0.77
15/03/2022 00:30,1.02,28,0.74
15/03/2022 00:45,1.03,31,0.72
15/03/2022 01:00,0.96,26,0.70
15/03/2022 01:30,0.88,22,0.66
15/03/2022 02:00,0.85,23,0.62
15/03/2022 02:15,0.86,25,0.61
15/03/2022 02:30,0.86,26,0.60
15/03/2022 03:00,0.78,21,0.57
15/03/2022 03:15,0.85,28,0.57
15/03/2022 03:30,0.83,27,0.56
15/03/2022 03:45,0.77,22,0.55
15/03/2022 04:15,0.78,23,0.55
15/03/2022 04:30,0.81,26,0.55
15/03/2022 04:45,0.77,22,0.55
15/03/2022 05:00,0.78,22,0.56
15/03/2022 05:15,0.81,25,0.56
15/03/2022 05:45,0.92,34,0.58
15/03/2022 06:00,0.86,27,0.59
15/03/2022 06:15,0.87,27,0.60
15/03/2022 06:30,0.89,28,0.61
15/03/2022 06:45,0.85,23,0.62
15/03/2022 07:00,0.94,30,0.64
15/03/2022 07:15,0.93,28,0.65
15/03/2022 07:45,0.95,27,0.68
15/03/2022 08:15,0.98,27,0.71
15/03/2022 08:30,0.98,26,0.72
15/03/2022 08:45,1.00,26,0.74
15/03/2022 09:15,1.05,29,0.76
15/03/2022 10:00,1.07,28,0.79
15/03/2022 10:15,1.04,24,0.80
15/03/2022 10:30,1.01,20,0.81
15/03/2022 10:45,1.08,27,0.81
15/03/2022 11:00,1.07,25,0.82
15/03/2022 11:45,1.04,21,0.83
15/03/2022 12:15,1.07,24,0.83
15/03/2022 12:30,1.07,24,0.83
15/03/2022 12:45,1.07,23,0.84
15/03/2022 13:00,1.07,23,0.84
15/03/2022 13:15,1.05,21,0.84
15/03/2022 13:45,1.04,19,0.85
15/03/2022 14:00,1.07,21,0.86
15/03/2022 14:15,1.10,24,0.86
15/03/2022 14:30,1.14,27,0.87
15/03/2022 14:45,1.04,16,0.88
15/03/2022 15:00,1.09,21,0.88
15/03/2022 15:15,1.13,24,0.89
15/03/2022 16:00,1.21,28,0.93
15/03/2022 16:30,1.16,20,0.96
15/03/2022 16:45,1.24,27,0.97
15/03/2022 17:00,1.21,22,0.99
15/03/2022 17:30,1.24,23,1.01
15/03/2022 17:45,1.22,19,1.03
15/03/2022 18:00,1.23,19,1.04
15/03/2022 18:15,1.31,26,1.05
15/03/2022 18:45,1.29,21,1.08
15/03/2022 19:00,1.30,21,1.09
15/03/2022 19:30,1.26,16,1.10
15/03/2022 19:45,1.26,16,1.10
15/03/2022 20:15,1.34,24,1.10
15/03/2022 20:30,1.36,26,1.10
15/03/2022 20:45,1.32,22,1.10
15/03/2022 21:15,1.36,28,1.08
15/03/2022 22:00,1.22,18,1.04
15/03/2022 22:15,1.17,15,1.02
15/03/2022 22:30,1.15,15,1.00
15/03/2022 22:45,1.16,18,0.98
15/03/2022 23:00,1.19,23,0.96
15/03/2022 23:15,1.17,24,0.93
15/03/2022 23:45,1.06,18,0.88
