date,tide,residual,predicted
25/03/2022 00:00,0.66,9,0.57
25/03/2022 00:15,0.63,7,0.56
25/03/2022 00:30,0.63,7,0.56
25/03/2022 00:45,0.64,10,0.54
25/03/2022 01:00,0.60,6,0.54
25/03/2022 01:30,0.62,10,0.52
25/03/2022 02:00,0.65,13,0.52
25/03/2022 02:15,0.64,12,0.52
25/03/2022 02:30,0.65,12,0.53
25/03/2022 02:45,0.64,11,0.53
25/03/2022 03:00,0.66,12,0.54
25/03/2022 03:30,0.67,11,0.56
25/03/2022 04:00,0.68,11,0.57
25/03/2022 04:30,0.73,15,0.58
25/03/2022 04:45,0.75,16,0.59
25/03/2022 05:15,0.74,12,0.62
25/03/2022 05:30,0.82,18,0.64
25/03/2022 05:45,0.83,18,0.65
25/03/2022 06:15,0.80,12,0.68
25/03/2022 06:45,0.91,19,0.72
25/03/2022 07:15,0.90,15,0.75
25/03/2022 07:30,0.94,17,0.77
25/03/2022 07:45,0.98,18,0.80
25/03/2022 08:00,0.98,16,0.82
25/03/2022 08:15,1.02,17,0.85
25/03/2022 08:45,1.09,19,0.90
25/03/2022 09:00,1.12,20,0.92
25/03/2022 09:15,1.13,19,0.94
25/03/2022 09:30,1.17,21,0.96
25/03/2022 09:45,1.19,21,0.98
25/03/2022 10:00,1.21,21,1.00
25/03/2022 10:15,1.24,23,1.01
25/03/2022 10:45,1.21,18,1.03
25/03/2022 11:15,1.29,23,1.06
25/03/2022 11:45,1.33,24,1.09
25/03/2022 12:15,1.32,21,1.11
25/03/2022 12:30,1.29,17,1.12
25/03/2022 12:45,1.34,22,1.12
25/03/2022 13:00,1.36,24,1.12
25/03/2022 13:15,1.33,21,1.12
25/03/2022 13:30,1.29,17,1.12
25/03/2022 13:45,1.36,24,1.12
25/03/2022 14:00,1.35,24,1.11
25/03/2022 14:15,1.33,22,1.11
25/03/2022 14:30,1.34,22,1.12
25/03/2022 14:45,1.38,26,1.12
25/03/2022 15:15,1.38,26,1.12
25/03/2022 15:30,1.35,24,1.11
25/03/2022 15:45,1.33,22,1.11
25/03/2022 16:15,1.32,23,1.09
25/03/2022 16:30,1.31,23,1.08
25/03/2022 17:00,1.26,20,1.06
25/03/2022 17:15,1.28,23,1.05
25/03/2022 17:45,1.29,26,1.03
25/03/2022 18:15,1.27,27,1.00
25/03/2022 18:30,1.26,27,0.99
25/03/2022 18:45,1.22,24,0.98
25/03/2022 19:00,1.21,25,0.96
25/03/2022 19:15,1.16,22,0.94
25/03/2022 19:45,1.12,22,0.90
25/03/2022 20:00,1.12,23,0.89
25/03/2022 20:15,1.10,23,0.87
25/03/2022 20:30,1.14,28,0.86
25/03/2022 20:45,1.11,27,0.84
25/03/2022 21:15,1.03,22,0.81
25/03/2022 21:30,0.99,20,0.79
25/03/2022 22:00,0.99,24,0.75
25/03/2022 22:45,0.91,23,0.68
25/03/2022 23:00,0.87,21,0.66
25/03/2022 23:30,0.85,23,0.62
