date,tide,residual,predicted
20/04/2022 00:00,0.62,-6,0.68
20/04/2022 00:15,0.64,-5,0.69
20/04/2022 00:30,0.66,-4,0.70
20/04/2022 00:45,0.64,-7,0.71
20/04/2022 01:00,0.65,-7,0.72
20/04/2022 01:15,0.66,-6,0.72
20/04/2022 01:30,0.67,-6,0.73
20/04/2022 01:45,0.63,-10,0.73
20/04/2022 02:00,0.64,-9,0.73
20/04/2022 02:15,0.71,-3,0.74
20/04/2022 02:30,0.70,-4,0.74
20/04/2022 02:45,0.68,-6,0.74
20/04/2022 03:00,0.71,-4,0.75
20/04/2022 03:15,0.71,-4,0.75
20/04/2022 03:30,0.73,-3,0.76
20/04/2022 03:45,0.72,-5,0.77
20/04/2022 04:30,0.74,-6,0.80
20/04/2022 04:45,0.78,-4,0.82
20/04/2022 05:15,0.81,-5,0.86
20/04/2022 05:30,0.82,-6,0.88
20/04/2022 06:00,0.88,-5,0.93
20/04/2022 06:15,0.91,-4,0.95
20/04/2022 07:00,1.02,0,1.02
20/04/2022 07:15,1.05,0,1.05
20/04/2022 07:30,1.04,-3,1.07
20/04/2022 07:45,1.05,-4,1.09
20/04/2022 08:00,1.04,-7,1.11
20/04/2022 08:15,1.07,-5,1.12
20/04/2022 08:30,1.09,-5,1.14
20/04/2022 08:45,1.11,-5,1.16
20/04/2022 09:00,1.13,-4,1.17
20/04/2022 09:15,1.16,-3,1.19
20/04/2022 09:30,1.18,-2,1.20
20/04/2022 09:45,1.14,-8,1.22
20/04/2022 10:15,1.28,4,1.24
20/04/2022 10:45,1.20,-5,1.25
20/04/2022 11:00,1.20,-6,1.26
20/04/2022 11:30,1.20,-5,1.25
20/04/2022 11:45,1.21,-3,1.24
20/04/2022 12:00,1.20,-4,1.24
20/04/2022 12:15,1.20,-3,1.23
20/04/2022 12:30,1.22,-1,1.23
20/04/2022 12:45,1.19,-3,1.22
20/04/2022 13:15,1.20,0,1.20
20/04/2022 13:30,1.21,2,1.19
20/04/2022 13:45,1.17,0,1.17
20/04/2022 14:00,1.13,-2,1.15
20/04/2022 14:30,1.07,-3,1.10
20/04/2022 14:45,1.05,-2,1.07
20/04/2022 15:00,0.98,-6,1.04
20/04/2022 15:15,0.94,-8,1.02
20/04/2022 15:30,0.94,-5,0.99
20/04/2022 15:45,0.93,-3,0.96
20/04/2022 16:00,0.91,-2,0.93
20/04/2022 16:15,0.88,-3,0.91
20/04/2022 16:45,0.84,-1,0.85
20/04/2022 17:00,0.78,-5,0.83
20/04/2022 17:15,0.76,-5,0.81
20/04/2022 17:30,0.74,-5,0.79
20/04/2022 17:45,0.68,-9,0.77
20/04/2022 18:15,0.65,-9,0.74
20/04/2022 18:30,0.65,-8,0.73
20/04/2022 19:15,0.61,-8,0.69
20/04/2022 19:30,0.61,-7,0.68
20/04/2022 19:45,0.62,-4,0.66
20/04/2022 20:00,0.59,-6,0.65
20/04/2022 20:15,0.56,-8,0.64
20/04/2022 20:30,0.53,-9,0.62
20/04/2022 20:45,0.54,-7,0.61
20/04/2022 21:00,0.53,-7,0.60
20/04/2022 21:15,0.52,-8,0.60
20/04/2022 21:45,0.53,-6,0.59
20/04/2022 22:15,0.53,-6,0.59
20/04/2022 22:30,0.53,-6,0.59
20/04/2022 22:45,0.53,-6,0.59
20/04/2022 23:00,0.51,-8,0.59
20/04/2022 23:15,0.52,-7,0.59
20/04/2022 23:30,0.52,-7,0.59
