AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program
ga_251/CSV001,251/CSV001,251/CSV001,251/CSV001,-1,-1,-32.249583,115.722033,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV002,251/CSV002,251/CSV002,251/CSV002,-1,-1,-32.249217,115.72855,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV003,251/CSV003,251/CSV003,251/CSV003,-1,-1,-32.249467,115.752783,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV004,251/CSV004,251/CSV004,251/CSV004,-1,-1,-32.200233,115.68615,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV005,251/CSV005,251/CSV005,251/CSV005,-1,-1,-32.200033,115.711783,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV006,251/CSV006,251/CSV006,251/CSV006,-1,-1,-32.200167,115.741017,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV007,251/CSV007,251/CSV007,251/CSV007,-1,-1,-32.200267,115.687417,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV008,251/CSV008,251/CSV008,251/CSV008,-1,-1,-32.165967,115.705133,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV009,251/CSV009,251/CSV009,251/CSV009,-1,-1,-32.144517,115.697833,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV010,251/CSV010,251/CSV010,251/CSV010,-1,-1,-32.145117,115.727,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
ga_251/CSV012,251/CSV012,251/CSV012,251/CSV012,-1,-1,-32.105017,115.689167,GA,Geoscience Australia,WQ_sed,Sediment cores,,,GA-CS251
