Acartiidae
actinotroch
ascidian_larva
appendicularian
barnacle_nauplius
bivalve_veliger
brachyuryan_zoea
calanoid_copepod
Diplostraca_cladoceran
chaetognatha
Clytemnestra
copepod
Copilia
Corycaeus
cyphonaute
Decapod_larva
Doliolid
echinoderm_larva
Eucalanidae
Eucalanus_nauplius
Euterpina_acutifrons
fish_embryo
Fish_larva
invertebrate_larva
isopod
jellyfish
Lucifer
Mecynocera_clausii
Micro_Macrosetella
nauplius
nectochaeta
Oithona
Oncaea
Ostracod
Pontellidae
Porcellanid_zoea
Penilia_avirostris
pluteus
Siphonophore
starfish_juvenile
Temora_
Trochophore
gastropod_veliger
zoea
Total_Zooplankton_Biovolume
Copepods
Cladocerans
Other_predators
Other_grazers
WQ_DIAG_ZOO_TZOO
WQ_ZOO_COPEPOD
WQ_ZOO_GRAZER
