"Time","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037","6147037"
"and",24.00,60.00,80.00,83.00,84.00,87.00,88.00,89.00,91.00,349.00,350.00,351.00,352.00,353.00,355.00,357.00,359.00,360.00,361.00
"Date","Water Temp situ(°C)","PAR (µmol/m²/s)","Cond Comp (µs/cm)","Turbidity-Neph (NTU)","Salinity (ppt)","Oxy Diss situ (mg/l)","pH in-situ (pH)","Oxy Diss Sat situ(%)","Sample Depth (m)","Tilt (deg)","WL - 410 (µW/cm2/nm)","WL - 440 (µW/cm2/nm)","WL - 490 (µW/cm2/nm)","WL - 510 (µW/cm2/nm)","WL - 550 (µW/cm2/nm)","WL - 590 (µW/cm2/nm)","WL - 635 (µW/cm2/nm)","WL - 660 (µW/cm2/nm)","WL - 700 (µW/cm2/nm)"
"","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point"
13:00:00 22/09/2021,      16.470,"",       46182,        0.16,      30.010,       8.150,"",       100.0,       8.627,       0.580,     116.171,       0.370,       2.054,      12.368,      16.253,      21.797,      13.104,       2.495,       1.244
14:00:00 22/09/2021,      16.470,"",       46154,        0.38,      29.990,       8.250,"",       101.3,       8.562,       0.700,      97.728,       0.305,       1.714,      10.489,      13.811,      18.538,      10.900,       1.976,       0.975
15:00:00 22/09/2021,      16.520,"",       46189,        0.52,      30.020,       8.330,"",       102.3,       8.494,       0.570,      69.607,       0.207,       1.203,       7.599,      10.027,      13.374,       7.601,       1.290,       0.625
16:00:00 22/09/2021,      16.540,"",       46159,        0.29,      29.990,       8.390,"",       103.0,       8.502,       0.610,      41.471,       0.117,       0.723,       4.639,       6.130,       8.106,       4.368,       0.681,       0.316
17:00:00 22/09/2021,      16.540,"",       46193,        0.65,      30.020,       8.410,"",       103.3,       8.520,       0.740,      17.832,       0.053,       0.343,       2.100,       2.720,       3.473,       1.781,       0.263,       0.123
18:00:00 22/09/2021,      16.510,"",       46110,        0.65,      29.960,       8.360,"",       102.7,       8.557,       0.580,       2.267,       0.005,       0.055,       0.327,       0.388,       0.413,       0.187,       0.025,       0.011
19:00:00 22/09/2021,      16.540,"",       46115,        0.41,      29.960,       8.230,"",       101.1,       8.621,       0.530,      -0.076,      -0.006,      -0.006,      -0.006,      -0.006,      -0.004,      -0.006,      -0.007,      -0.004
20:00:00 22/09/2021,      16.710,"",       46082,        0.25,      29.940,       8.070,"",        99.5,       8.668,       0.560,      -0.077,      -0.008,      -0.006,      -0.005,      -0.006,      -0.004,      -0.007,      -0.008,      -0.004
21:00:00 22/09/2021,      16.610,"",       46189,        1.52,      30.020,       8.190,"",       100.8,       8.715,       0.740,      -0.064,      -0.006,      -0.005,      -0.005,      -0.004,      -0.002,      -0.005,      -0.007,      -0.004
22:00:00 22/09/2021,      16.650,"",       46325,        0.80,      30.120,       8.270,"",       101.9,       8.750,       0.660,      -0.058,      -0.006,      -0.005,      -0.003,      -0.005,      -0.003,      -0.005,      -0.004,      -0.004
23:00:00 22/09/2021,      16.650,"",       46362,        1.22,      30.140,       8.050,"",        99.3,       8.744,       0.670,      -0.071,      -0.007,      -0.006,      -0.005,      -0.007,      -0.003,      -0.006,      -0.006,      -0.004
00:00:00 23/09/2021,      16.630,"",       46232,        0.52,      30.050,       8.200,"",       100.9,       8.719,       0.710,      -0.062,      -0.006,      -0.007,      -0.004,      -0.005,      -0.003,      -0.005,      -0.004,      -0.004
01:00:00 23/09/2021,      16.670,"",       46372,        1.12,      30.150,       8.050,"",        99.2,       8.613,       0.650,      -0.087,      -0.007,      -0.006,      -0.005,      -0.006,      -0.006,      -0.008,      -0.007,      -0.005
02:00:00 23/09/2021,      16.630,"",       46217,        0.07,      30.040,       8.090,"",        99.6,       8.582,       0.630,      -0.061,      -0.005,      -0.005,      -0.004,      -0.006,      -0.002,      -0.005,      -0.004,      -0.004
03:00:00 23/09/2021,      16.640,"",       46259,        1.11,      30.070,       8.040,"",        99.0,       8.480,       0.510,      -0.069,      -0.006,      -0.006,      -0.005,      -0.005,      -0.002,      -0.005,      -0.007,      -0.005
04:00:00 23/09/2021,      16.630,"",       46229,        0.37,      30.050,       8.060,"",        99.3,       8.450,       0.680,      -0.064,      -0.006,      -0.005,      -0.005,      -0.005,      -0.003,      -0.005,      -0.006,      -0.004
05:00:00 23/09/2021,      16.630,"",       46180,        0.30,      30.010,       8.150,"",       100.3,       8.480,       0.620,      -0.090,      -0.008,      -0.008,      -0.007,      -0.007,      -0.004,      -0.008,      -0.007,      -0.005
06:00:00 23/09/2021,      16.660,"",       46309,        0.56,      30.100,       7.860,"",        96.8,       8.467,       0.450,       0.229,      -0.004,       0.003,       0.038,       0.045,       0.046,       0.019,      -0.001,      -0.001
