"Time","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036","6147036"
"and",24.00,60.00,80.00,83.00,84.00,87.00,88.00,89.00,91.00,349.00,350.00,351.00,352.00,353.00,355.00,357.00,359.00,360.00,361.00
"Date","Water Temp situ(°C)","PAR (µmol/m²/s)","Cond Comp (µs/cm)","Turbidity-Neph (NTU)","Salinity (ppt)","Oxy Diss situ (mg/l)","pH in-situ (pH)","Oxy Diss Sat situ(%)","Sample Depth (m)","Tilt (deg)","WL - 410 (µW/cm2/nm)","WL - 440 (µW/cm2/nm)","WL - 490 (µW/cm2/nm)","WL - 510 (µW/cm2/nm)","WL - 550 (µW/cm2/nm)","WL - 590 (µW/cm2/nm)","WL - 635 (µW/cm2/nm)","WL - 660 (µW/cm2/nm)","WL - 700 (µW/cm2/nm)"
"","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point","Point"
13:00:00 22/09/2021,      16.700,"",       49939,"",      32.750,       8.150,       8.040,       102.2,       5.006,       2.360,     364.558,       4.901,      14.807,      41.712,      46.345,      52.580,      37.484,      14.138,       8.915
14:00:00 22/09/2021,      16.640,"",       49967,"",      32.770,       8.070,       8.050,       101.0,       4.944,       2.300,     344.419,       4.239,      13.069,      38.597,      43.339,      50.186,      36.239,      13.616,       8.548
15:00:00 22/09/2021,      16.590,"",       49973,"",      32.770,       8.020,       8.070,       100.4,       4.882,       2.420,     206.718,       2.393,       7.614,      23.643,      26.678,      30.943,      21.678,       7.540,       4.587
16:00:00 22/09/2021,      16.550,"",       49963,"",      32.760,       8.020,       8.090,       100.3,       4.876,       2.180,     128.070,       1.417,       4.596,      14.815,      16.769,      19.547,      13.372,       4.429,       2.659
17:00:00 22/09/2021,      16.570,"",       49997,"",      32.790,       7.940,       8.090,        99.2,       4.895,       2.250,      50.894,       0.591,       1.853,       6.053,       6.844,       7.868,       5.169,       1.632,       0.989
18:00:00 22/09/2021,      16.610,"",       50009,"",      32.800,       7.860,       8.100,        98.4,       4.954,       2.280,       6.311,       0.091,       0.303,       0.885,       0.933,       0.905,       0.531,       0.171,       0.117
19:00:00 22/09/2021,      16.870,"",       50063,"",      32.840,       7.780,       8.100,        97.9,       5.010,       2.210,       0.016,      -0.006,       0.002,       0.004,       0.001,       0.000,       0.006,      -0.002,       0.002
20:00:00 22/09/2021,      16.940,"",       50091,"",      32.860,       7.670,       8.100,        96.6,       5.050,       2.190,      -0.011,      -0.008,      -0.001,       0.000,      -0.001,      -0.002,       0.005,      -0.005,       0.000
21:00:00 22/09/2021,      16.990,"",       50098,"",      32.870,       7.510,       8.100,        94.7,       5.129,       2.080,      -0.005,      -0.008,      -0.001,       0.000,       0.000,      -0.002,       0.006,      -0.005,       0.001
22:00:00 22/09/2021,      17.040,"",       50081,"",      32.860,       7.570,       8.100,        95.5,       5.128,       2.290,      -0.008,      -0.009,      -0.001,       0.001,       0.000,      -0.004,       0.006,      -0.005,       0.000
23:00:00 22/09/2021,      17.090,"",       50061,"",      32.840,       7.640,       8.110,        96.6,       5.130,       2.280,      -0.004,      -0.007,      -0.001,       0.001,       0.000,      -0.002,       0.005,      -0.005,       0.001
00:00:00 23/09/2021,      17.120,"",       50055,"",      32.840,       7.680,       8.120,        97.1,       5.106,       2.300,       0.011,      -0.006,       0.000,       0.003,       0.000,      -0.002,       0.006,      -0.001,       0.001
01:00:00 23/09/2021,      17.150,"",       50066,"",      32.850,       7.770,       8.120,        98.3,       5.010,       2.190,       0.000,      -0.007,       0.000,       0.001,       0.000,      -0.004,       0.006,      -0.003,       0.001
02:00:00 23/09/2021,      17.150,"",       50073,"",      32.850,       7.770,       8.120,        98.3,       4.971,       1.870,       0.013,      -0.006,       0.000,       0.003,       0.001,      -0.002,       0.006,      -0.001,       0.002
03:00:00 23/09/2021,      17.110,"",       50040,"",      32.830,       7.790,       8.130,        98.5,       4.864,       2.420,      -0.004,      -0.008,       0.000,       0.000,       0.001,      -0.003,       0.005,      -0.004,       0.000
04:00:00 23/09/2021,      17.080,"",       50019,"",      32.810,       7.870,       8.130,        99.5,       4.839,       2.130,      -0.003,      -0.007,      -0.001,       0.000,      -0.001,      -0.002,       0.006,      -0.004,       0.001
05:00:00 23/09/2021,      17.050,"",       50032,"",      32.820,       7.800,       8.130,        98.4,       4.857,       2.210,       0.007,      -0.006,       0.000,       0.002,       0.001,      -0.002,       0.006,      -0.002,       0.001
06:00:00 23/09/2021,      17.010,"",       50039,"",      32.820,       7.740,       8.130,        97.7,       4.868,       2.260,       0.846,       0.005,       0.046,       0.123,       0.129,       0.112,       0.070,       0.023,       0.017
07:00:00 23/09/2021,      17.000,"",       50044,"",      32.830,       7.750,       8.130,        97.7,       4.917,       2.220,      37.238,       0.571,       1.703,       4.817,       5.237,       5.614,       3.378,       1.085,       0.662
08:00:00 23/09/2021,      17.000,"",       50049,"",      32.830,       7.800,       8.130,        98.4,       4.929,       2.090,     108.823,       1.381,       4.415,      13.336,      14.843,      16.688,      10.610,       3.399,       2.020
09:00:00 23/09/2021,      17.040,"",       50046,"",      32.830,       8.000,       8.140,       101.0,       4.972,       2.420,     231.590,       3.106,       9.572,      27.334,      30.384,      34.261,      23.107,       8.287,       5.111
10:00:00 23/09/2021,      17.030,"",       50049,"",      32.830,       8.170,       8.140,       103.1,       5.013,       2.240,     285.746,       3.891,      12.073,      34.165,      37.772,      42.380,      28.335,       9.914,       6.009
11:00:00 23/09/2021,      17.080,"",       50038,"",      32.820,       8.490,       8.160,       107.2,       4.980,       2.170,     355.715,       5.319,      15.626,      41.867,      46.081,      51.300,      35.202,      13.265,       8.319
12:00:00 23/09/2021,      17.140,"",       50038,"",      32.830,       8.850,       8.170,       112.0,       5.008,       2.040,     392.172,       5.914,      17.313,      46.157,      50.709,      56.437,      38.814,      14.689,       9.196
13:00:00 23/09/2021,      17.440,"",       50027,"",      32.820,       8.490,       8.150,       108.0,       4.954,       2.100,     388.182,       5.983,      17.291,      45.787,      50.245,      55.819,      38.334,      14.455,       9.057
14:00:00 23/09/2021,      17.500,"",       50013,"",      32.810,       8.160,       8.130,       103.9,       4.897,       2.330,     349.914,       5.055,      15.157,      41.453,      45.686,      51.086,      34.692,      12.648,       7.815
15:00:00 23/09/2021,      17.490,"",       50004,"",      32.800,       8.130,       8.130,       103.5,       4.873,       2.230,     261.790,       3.576,      11.041,      31.273,      34.631,      38.850,      25.876,       9.111,       5.561
16:00:00 23/09/2021,      17.440,"",       49999,"",      32.800,       8.120,       8.130,       103.3,       4.829,       2.650,     141.781,       1.880,       5.923,      17.468,      19.351,      21.639,      13.690,       4.441,       2.623
17:00:00 23/09/2021,      17.400,"",       50001,"",      32.800,       8.130,       8.130,       103.3,       4.859,       2.120,      60.710,       0.824,       2.557,       7.619,       8.417,       9.339,       5.699,       1.830,       1.100
18:00:00 23/09/2021,      17.460,"",       49992,"",      32.790,       8.270,       8.150,       105.2,       4.925,       2.400,       6.334,       0.091,       0.313,       0.867,       0.915,       0.897,       0.526,       0.191,       0.136
19:00:00 23/09/2021,      17.280,"",       50016,"",      32.810,       7.920,       8.130,       100.5,       4.945,       2.970,       0.009,      -0.008,       0.000,       0.003,       0.001,      -0.002,       0.006,      -0.001,       0.001
20:00:00 23/09/2021,      17.240,"",       50024,"",      32.820,       7.910,       8.130,       100.3,       5.025,       2.750,       0.010,      -0.007,       0.000,       0.003,       0.000,      -0.002,       0.006,      -0.001,       0.001
21:00:00 23/09/2021,      17.240,"",       50029,"",      32.820,       7.880,       8.130,        99.9,       5.052,       3.310,       0.010,      -0.006,       0.002,       0.003,       0.001,      -0.002,       0.006,      -0.002,       0.001
22:00:00 23/09/2021,      17.200,"",       50042,"",      32.830,       7.910,       8.130,       100.1,       5.073,       2.740,      -0.009,      -0.009,       0.000,       0.001,      -0.002,      -0.003,       0.005,      -0.005,       0.000
23:00:00 23/09/2021,      17.180,"",       50047,"",      32.830,       7.860,       8.130,        99.4,       5.078,       2.720,       0.010,      -0.006,       0.001,       0.003,       0.001,      -0.002,       0.006,      -0.002,       0.001
00:00:00 24/09/2021,      17.140,"",       50040,"",      32.830,       7.820,       8.130,        98.9,       5.066,       2.640,       0.009,      -0.006,      -0.001,       0.003,       0.000,      -0.002,       0.006,      -0.002,       0.002
01:00:00 24/09/2021,      17.120,"",       50057,"",      32.840,       7.820,       8.130,        98.9,       5.020,       2.610,       0.012,      -0.007,       0.000,       0.003,       0.000,      -0.001,       0.006,       0.000,       0.001
02:00:00 24/09/2021,      17.080,"",       50067,"",      32.850,       7.790,       8.130,        98.4,       4.963,       2.780,       0.006,      -0.006,       0.001,       0.002,       0.000,      -0.002,       0.006,      -0.003,       0.001
03:00:00 24/09/2021,      17.030,"",       50074,"",      32.850,       7.780,       8.130,        98.2,       4.881,       2.600,       0.019,      -0.006,       0.002,       0.004,       0.000,      -0.002,       0.006,       0.000,       0.002
04:00:00 24/09/2021,      16.990,"",       50078,"",      32.850,       7.780,       8.130,        98.1,       4.781,       3.400,       0.012,      -0.007,       0.002,       0.003,       0.000,      -0.002,       0.006,      -0.002,       0.002
05:00:00 24/09/2021,      16.950,"",       50069,"",      32.850,       7.740,       8.130,        97.6,       4.756,       2.750,       0.013,      -0.006,       0.003,       0.003,       0.000,      -0.002,       0.006,      -0.002,       0.001
06:00:00 24/09/2021,      16.900,"",       50078,"",      32.850,       7.670,       8.130,        96.6,       4.788,       3.330,       0.845,       0.006,       0.046,       0.125,       0.128,       0.110,       0.067,       0.024,       0.019
07:00:00 24/09/2021,      16.830,"",       50075,"",      32.850,       7.700,       8.130,        96.8,       4.828,       2.470,      21.030,       0.305,       0.929,       2.594,       2.817,       3.040,       1.947,       0.758,       0.502
08:00:00 24/09/2021,      16.820,"",       50087,"",      32.860,       7.710,       8.120,        97.0,       4.812,       3.040,     101.665,       1.179,       3.852,      12.313,      13.820,      15.771,      10.096,       3.193,       1.887
09:00:00 24/09/2021,      16.830,"",       50086,"",      32.860,       7.890,       8.130,        99.2,       4.851,       2.390,     200.643,       2.431,       7.771,      23.415,      26.207,      29.959,      20.358,       7.264,       4.466
10:00:00 24/09/2021,      16.850,"",       50079,"",      32.850,       8.030,       8.130,       101.0,       4.914,       2.540,     310.119,       3.933,      12.234,      35.515,      39.699,      45.340,      31.679,      11.959,       7.521
11:00:00 24/09/2021,      16.930,"",       50081,"",      32.850,       8.120,       8.140,       102.3,       4.900,       1.630,     349.249,       4.689,      14.285,      40.292,      44.734,      50.749,      35.487,      13.368,       8.371
12:00:00 24/09/2021,      17.080,"",       50073,"",      32.850,       8.090,       8.140,       102.2,       4.881,       1.880,     388.741,       5.678,      16.496,      44.542,      49.178,      55.326,      39.272,      15.489,       9.910
13:00:00 24/09/2021,      17.150,"",       50072,"",      32.850,       8.510,       8.160,       107.7,       4.891,       2.500,     381.986,       5.594,      16.322,      44.176,      48.773,      54.756,      38.395,      14.822,       9.376
14:00:00 24/09/2021,      17.260,"",       50063,"",      32.840,       8.390,       8.150,       106.3,       4.829,       2.420,     306.994,       4.086,      12.500,      35.515,      39.554,      44.886,      31.095,      11.596,       7.221
15:00:00 24/09/2021,      17.330,"",       50056,"",      32.840,       8.790,       8.170,       111.7,       4.820,       2.340,     238.389,       2.935,       9.313,      27.734,      31.088,      35.570,      24.177,       8.677,       5.322
16:00:00 24/09/2021,      17.390,"",       50058,"",      32.840,       8.730,       8.170,       110.9,       4.805,       2.740,      96.555,       1.352,       4.102,      11.818,      13.065,      14.480,       9.347,       3.149,       1.904
17:00:00 24/09/2021,      17.420,"",       50064,"",      32.850,       8.590,       8.170,       109.2,       4.816,       2.370,      59.418,       0.788,       2.413,       7.358,       8.201,       9.147,       5.653,       1.829,       1.112
