SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
61402281,61402281,Groundwater,Bore or Well,AWRC,Samson - Sisters Of Joseph 1,Sisters Of Joseph 1,20019661 [WIN_ID]; 2033-1-NW-0074 [AQWAB]; 61402281 [SITE_REF],,50,386290,6450858,-32.07281923,115.7952359,GDA94
61402282,61402282,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No1,No1,20019666 [WIN_ID]; 2033-1-NW-0079 [AQWAB]; 61402282 [SITE_REF],,50,384331,6453032,-32.05301131,115.7747456,GDA94
61402283,61402283,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No1,No1,20019670 [WIN_ID]; 2033-1-NW-0083 [AQWAB]; 61402283 [SITE_REF],,50,385005,6449053,-32.08896962,115.7814078,GDA94
61402284,61402284,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No2,No2,20019671 [WIN_ID]; 2033-1-NW-0084 [AQWAB]; 61402284 [SITE_REF],,50,384880,6448936,-32.09001218,115.7800694,GDA94
61402285,61402285,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No4,No4,20019672 [WIN_ID]; 2033-1-NW-0085 [AQWAB]; 61402285 [SITE_REF],,50,384859,6449071,-32.08879238,115.7798631,GDA94
61402286,61402286,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No5,No5,20019673 [WIN_ID]; 2033-1-NW-0086 [AQWAB]; 61402286 [SITE_REF],,50,384645,6448889,-32.0904121,115.777574,GDA94
61402287,61402287,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No6,No6,20019674 [WIN_ID]; 2033-1-NW-0087 [AQWAB]; 61402287 [SITE_REF],,50,384328,6448137,-32.09716243,115.7741247,GDA94
61402288,61402288,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No7,No7,20019675 [WIN_ID]; 2033-1-NW-0088 [AQWAB]; 61402288 [SITE_REF],,50,384324,6447145,-32.10610952,115.7739628,GDA94
61402289,61402289,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No8,No8,20019676 [WIN_ID]; 2033-1-NW-0089 [AQWAB]; 61402289 [SITE_REF],,50,384279,6447079,-32.10670021,115.7734779,GDA94
61402290,61402290,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No9,No9,20019677 [WIN_ID]; 2033-1-NW-0090 [AQWAB]; 61402290 [SITE_REF],,50,384126,6447029,-32.10713548,115.7718506,GDA94
61402291,61402291,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No10,No10,20019678 [WIN_ID]; 2033-1-NW-0091 [AQWAB]; 61402291 [SITE_REF],,50,383979,6446972,-32.10763448,115.7702859,GDA94
61402292,61402292,Groundwater,Bore or Well,AWRC,Hamilton Hill - East No 11,East No 11,20019679 [WIN_ID]; 2033-1-NW-0092 [AQWAB]; 61402292 [SITE_REF],,50,385698,6450339,-32.07744066,115.7889031,GDA94
61402293,61402293,Groundwater,Bore or Well,AWRC,Cockburn Bowling Club - Fruit Growers Res 13,Fruit Growers Res 13,20019680 [WIN_ID]; 2033-1-NW-0093 [AQWAB]; 61402293 [SITE_REF],,50,385180,6447770,-32.1005597,115.7831085,GDA94
61402295,61402295,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Enright Res. No 2,Enright Res. No 2,20019683 [WIN_ID]; 2033-1-NW-0096 [AQWAB]; 61402295 [SITE_REF],,50,385579,6450070,-32.07985492,115.7876104,GDA94
61402296,61402296,Groundwater,Bore or Well,AWRC,Hamilton Hill Primary School - School,School,20019686 [WIN_ID]; 2033-1-NW-0099 [AQWAB]; 61402296 [SITE_REF],,50,384448,6449524,-32.08466446,115.7755631,GDA94
61402297,61402297,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - No1,No1,20019702 [WIN_ID]; 2033-1-NW-0115 [AQWAB]; 61402297 [SITE_REF],,50,385139,6445951,-32.11696233,115.7824563,GDA94
61402298,61402298,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Hilton Park,Hilton Park,20019712 [WIN_ID]; 2033-1-NW-0125 [AQWAB]; 61402298 [SITE_REF],,50,384652,6451279,-32.06885575,115.7779351,GDA94
61402311,61402311,Groundwater,Bore or Well,AWRC,Murray River Catchment 614 - Bore,Bore,20019818 [WIN_ID]; 2033-1-NW-0232 [AQWAB]; 61402311 [SITE_REF],,50,385400,6450242,-32.07828537,115.7857346,GDA94
61402313,61402313,Groundwater,Bore or Well,AWRC,Spearwood - Kent Street Rsve No1,Kent Street Rsve No1,20019833 [WIN_ID]; 2033-1-NW-0247 [AQWAB]; 61402313 [SITE_REF],,50,384530,6447947,-32.09889685,115.7762422,GDA94
61402314,61402314,Groundwater,Bore or Well,AWRC,Spearwood - Kent Street Rsve No2,Kent Street Rsve No2,20019834 [WIN_ID]; 2033-1-NW-0248 [AQWAB]; 61402314 [SITE_REF],,50,384530,6447947,-32.09889685,115.7762422,GDA94
