TYDSL1,2678,8,-13.971500,144.501694
TYDDSL1,2614,23,-13.971400,144.501602
TYDFL1,14555,3,-13.971500,144.501694
GRESL1,2672,6,-16.775499,145.980301
GREFL1,2671,0,-16.758301,145.970001
HALAWS,3032,7,-23.153601,150.938293
PINESL1,3080,6,-20.378000,148.888397
PINEFL1,3079,4,-20.378000,148.888397
HOOKFL1,3678,2,-20.168100,148.887100
HOOKSL1,3717,7,-20.168100,148.887100
DUNKFL1,3168,3,-17.926300,146.146103
DUNKSL1,3169,5,-17.926300,146.146103
LUCFL1,2676,0,-18.521099,146.384094
LUCSL1,2677,5,-18.521099,146.384094
SANSL1,2683,8,-13.436100,143.972107
SANDSL1,3015,20,-13.436000,143.972107
SANFL1,14556,3,-13.436300,143.972198
ABBSL1,2675,5,-19.858200,148.086304
ABBFL1,2674,0,-19.858200,148.086304
KELFL1,2619,2,-18.444799,146.993301
KELSL1,2620,7,-18.422100,146.984604
KELSL2,3958,6,-18.420700,146.986404
KELDSL1,2660,18,-18.422100,146.984604
KELFL2,2890,0,-18.444799,146.993301
SHTANSL1,3679,7,-20.300900,148.798294
SHTANFL1,3716,2,-20.300900,148.798294
COOK,3641,9,-28.193100,153.578506
HIGHFL2,3179,4,-17.162201,146.007004
HIGHSL2,3180,5,-17.162201,146.007004
HIGHFL1,3173,1,-17.163401,146.012604
HIGHSL1,3172,6,-17.163601,146.013199
AG3SL1old,14276,5,-15.990500,145.821304
AG3FL1,2687,0,-15.990300,145.821198
DBLCSL1,3085,6,-20.105101,148.721893
DBLCFL1,3084,3,-20.104601,148.721802
BARRSL1,3262,5,-23.157801,151.070694
BARRFL1,3119,4,-23.157801,151.070694
BARRSL2,15415,7,-23.156601,151.072800
GOBSL1,3698,10,-20.764700,150.489502
GOBFL1,3707,1,-20.764700,150.491592
LIZFL1,2649,2,-14.688400,145.442200
LIZSL1,2684,7,-14.691100,145.469498
WILKFL1,3096,3,-13.779000,143.640594
WILKSL1,3097,7,-13.779200,143.640594
SEAFSL1,3087,7,-20.468500,149.038895
SEAFFL1,3086,4,-20.468500,149.038895
20-344SL1,3699,11,-20.771799,150.891602
20-344FL1,3706,1,-20.772200,150.892502
LOWFL1,2685,0,-16.383101,145.561905
LOWSL1,2686,5,-16.386499,145.572800
MERMAIDOUTSL1,3674,6,-17.065701,119.649200
MERMAIDLAGSL1,3673,6,-17.075500,119.646004
MERMAID_RS1_1_6m,14999,6,-17.066000,119.649696
MERMAID_M12_BT,14996,2,-17.115299,119.634697
MERMAID_RS1_1_3m,15000,3,-17.066000,119.649696
MERMAID_M12_BB,14995,7,-17.114799,119.634300
MERMAID_M11_BT,14998,3,-17.132999,119.633797
MERMAID_RS1_S_6m,15019,5,-17.130899,119.661400
PELFL1,3120,2,-23.239700,150.874207
PELSL1,3709,5,-23.238899,150.874496
FITZSL2,3174,6,-16.923100,145.996307
FITZFL2,3175,2,-16.923300,145.996307
FITZSL1,2898,3,-16.932199,145.986496
PANFL1,3246,4,-18.816401,146.434097
PANSL1,3247,7,-18.816799,146.434601
PANSL2,10016,5,-18.811600,146.429993
PANCH1,13475,3,-18.812901,146.426498
PANFL2,10295,0,-18.813999,146.436005
CFLSL1,2702,5,-14.952200,145.311493
CFLFL1,2701,0,-14.952200,145.311493
KINGSL1,3681,6,-17.774401,146.158905
KINGFL1,6347,2,-17.774401,146.158905
NINGSL1,3726,8,-22.012699,113.898598
TURDSL1,2665,20,-21.702801,152.560593
TURSL1,2664,0,-21.703100,152.560501
TURFL1,2755,1,-21.707701,152.563095
NEFL1,3682,4,-18.571800,146.494705
NESL1,3038,5,-18.571699,146.495102
HUMPSL1,3260,7,-23.216299,150.963394
HUMPFL1,3259,4,-23.216200,150.963806
HUMPSL2,5918,7,-23.216299,150.963394
FLINDERSSL1,3725,4,-17.717400,148.445206
FLINDERSSL2,14617,9,-17.712299,148.450897
LELLSL1,3715,5,-18.680201,146.332993
LELLFL1,3714,2,-18.679800,146.332504
COCFL1,2617,1,-16.103600,145.467606
COCSL1,2615,4,-16.103600,145.467606
DAYSL1,2622,7,-20.255699,148.812195
DAYFL1,2949,4,-20.255699,148.812195
HAYFL1,2621,2,-20.041300,148.881897
HAYSL1,2644,9,-20.057199,148.899704
CHISL1,2635,7,-18.652100,147.721695
CHIFL1,2724,3,-18.653400,147.719894
CHISL2,3307,6,-18.655800,147.723801
HAVSL1,3748,5,-18.847500,146.542694
HAVFL1,3749,2,-18.847200,146.542801
HAVSL2,14975,8,-18.831499,146.537399
HALSL1,2651,6,-23.201500,150.970093
HALFL1,2652,2,-23.200500,150.970596
MYRFL1,2631,4,-18.258499,147.381393
MYRSL3B,3963,7,-18.274200,147.381699
MYRSL1,2726,8,-18.257200,147.381302
MYRSL2A,3962,7,-18.274200,147.381699
MYRSL2B,3969,7,-18.274200,147.381699
MYRSL3A,3966,10,-18.274200,147.381699
MYRDSL1,2632,19,-18.256701,147.380997
DIPFL1,2720,3,-18.401501,147.451004
