Tydeman Cay,858,2
	TYDSL1,2678,8,-13.971500,144.501694,2
	TYDDSL1,2614,23,-13.971400,144.501602,15250243
	TYDFL1,14555,3,-13.971500,144.501694,45446677
Green Island, Qld,902,122
	GRESL1,2672,6,-16.775499,145.980301,122
	GREFL1,2671,0,-16.758301,145.970001,11441
Halftide Rocks AWS,976,242
	HALAWS,3032,7,-23.153601,150.938293,242
Pine Island,986,349
	PINESL1,3080,6,-20.378000,148.888397,349
	PINEFL1,3079,4,-20.378000,148.888397,24314
Hook Island,1057,469
	HOOKFL1,3678,2,-20.168100,148.887100,469
	HOOKSL1,3717,7,-20.168100,148.887100,247739
Dunk Island,1005,709
	DUNKFL1,3168,3,-17.926300,146.146103,709
	DUNKSL1,3169,5,-17.926300,146.146103,1560111
Lucinda,907,829
	LUCFL1,2676,0,-18.521099,146.384094,829
	LUCSL1,2677,5,-18.521099,146.384094,1669
Sand Bank No7,913,949
	SANSL1,2683,8,-13.436100,143.972107,949
	SANDSL1,3015,20,-13.436000,143.972107,1540646
	SANFL1,14556,3,-13.436300,143.972198,71603837
Abbott Point,905,1069
	ABBSL1,2675,5,-19.858200,148.086304,1069
	ABBFL1,2674,0,-19.858200,148.086304,14592929
Kelso Reef,863,1189
	KELFL1,2619,2,-18.444799,146.993301,1189
	KELSL1,2620,7,-18.422100,146.984604,1145785
	KELSL2,3958,6,-18.420700,146.986404,1635714
	KELDSL1,2660,18,-18.422100,146.984604,25270491
	KELFL2,2890,0,-18.444799,146.993301,138022273
Shute and Tancred Islands,1058,1309
	SHTANSL1,3679,7,-20.300900,148.798294,1309
	SHTANFL1,3716,2,-20.300900,148.798294,637095
Cook Island,1053,1429
	COOK,3641,9,-28.193100,153.578506,1429
High Island,1009,1549
	HIGHFL2,3179,4,-17.162201,146.007004,1549
	HIGHSL2,3180,5,-17.162201,146.007004,2112197
	HIGHFL1,3173,1,-17.163401,146.012604,141957033
	HIGHSL1,3172,6,-17.163601,146.013199,142721268
Agincourt Reef Number 3,1,1909
	AG3SL1old,14276,5,-15.990500,145.821304,1909
	AG3FL1,2687,0,-15.990300,145.821198,11472
Double Cone,988,15811
	DBLCSL1,3085,6,-20.105101,148.721893,15811
	DBLCFL1,3084,3,-20.104601,148.721802,9326404
Barren Island,1041,18647
	BARRSL1,3262,5,-23.157801,151.070694,18647
	BARRFL1,3119,4,-23.157801,151.070694,823698
	BARRSL2,15415,7,-23.156601,151.072800,62467486
Goble Reef,1061,36477
	GOBSL1,3698,10,-20.764700,150.489502,36477
	GOBFL1,3707,1,-20.764700,150.491592,234085
Lizard Island,1166,94441
	LIZFL1,2649,2,-14.688400,145.442200,94441
	LIZSL1,2684,7,-14.691100,145.469498,288400
Wilkie Island,994,95853
	WILKFL1,3096,3,-13.779000,143.640594,95853
	WILKSL1,3097,7,-13.779200,143.640594,28578718
Seaforth Island,990,100212
	SEAFSL1,3087,7,-20.468500,149.038895,100212
	SEAFFL1,3086,4,-20.468500,149.038895,709232
20-344 Reef,1062,101447
	20-344SL1,3699,11,-20.771799,150.891602,101447
	20-344FL1,3706,1,-20.772200,150.892502,250302
Low Isles,915,149185
	LOWFL1,2685,0,-16.383101,145.561905,149185
	LOWSL1,2686,5,-16.386499,145.572800,794747
Mermaid Reef,1054,160092
	MERMAIDOUTSL1,3674,6,-17.065701,119.649200,160092
	MERMAIDLAGSL1,3673,6,-17.075500,119.646004,8812642
	MERMAID_RS1_1_6m,14999,6,-17.066000,119.649696,55917587
	MERMAID_M12_BT,14996,2,-17.115299,119.634697,67331165
	MERMAID_RS1_1_3m,15000,3,-17.066000,119.649696,67340397
	MERMAID_M12_BB,14995,7,-17.114799,119.634300,67350799
	MERMAID_M11_BT,14998,3,-17.132999,119.633797,99676621
	MERMAID_RS1_S_6m,15019,5,-17.130899,119.661400,100750861
Pelican Island,1065,177237
	PELFL1,3120,2,-23.239700,150.874207,177237
	PELSL1,3709,5,-23.238899,150.874496,424177
Fitzroy Island,1011,183321
	FITZSL2,3174,6,-16.923100,145.996307,183321
	FITZFL2,3175,2,-16.923300,145.996307,1596245
	FITZSL1,2898,3,-16.932199,145.986496,138041806
Pandora Reef,1037,186951
	PANFL1,3246,4,-18.816401,146.434097,186951
	PANSL1,3247,7,-18.816799,146.434601,315612
	PANSL2,10016,5,-18.811600,146.429993,18089144
	PANCH1,13475,3,-18.812901,146.426498,27994036
