Site,Var,size,Datestart,DateEn,SizeOfArrayRemoved
BOM_BARRA_TFV_BOM_9255_Floating_127,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9255_Floating_128,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9255_Floating_129,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9255_Floating_130,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9255_Floating_131,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9256_Floating_132,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9256_Floating_133,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9256_Floating_134,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9256_Floating_135,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9256_Floating_136,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9256_Floating_137,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9256_Floating_138,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9256_Floating_139,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9265_Floating_140,WQ_DIAG_TOT_PAR,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9265_Floating_141,Precipitation_Rate,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9265_Floating_142,RELHUM,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9265_Floating_143,eastern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9265_Floating_144,lwsfcdown,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9265_Floating_145,mslp,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9265_Floating_146,northern_wind_speed_at_10_m_height,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
BOM_BARRA_TFV_BOM_9265_Floating_147,temp_scrn,10974.000000,2010-10-01 11:00:00,2012-01-01 16:00:00,0.000000
