SITE_ID,DEFAULT_SITE_REF,SITE_TYPE,SITE_SUBTYPE,DEFAULT_SITE_NUM_SYS,SITE_NAME,SITE_SHORTNAME,ALL_SITE_REFERENCES,TEXT_REF,ZONE,EASTING,NORTHING,LATITUDE,LONGITUDE,SPHEROID
6141432,6141432,Surface (other),Sampling location,AWRC,Cockburn Sound - Mangles Bay,Mangles Bay,23015716 [WIN_ID]; 6141432 [SITE_REF]; MB [TEXT_REF],MB,50,377806.20,6428398.52,-32.274500000,115.702500000,GDA94
6142830,6142830,Surface (other),Sampling location,AWRC,Cockburn Sound - Nh3,Nh3,23012551 [WIN_ID]; 6142830 [SITE_REF]; NH3 [TEXT_REF],NH3,50,383291.00,6443373.00,-32.140023961,115.762557981,GDA94
6142971,6142971,Surface (other),Sampling location,AWRC,Cockburn Sound - North,North,23012687 [WIN_ID]; 6142971 [SITE_REF]; CS5 [TEXT_REF],CS5,50,379308.00,6441958.00,-32.152366473,115.720157614,GDA94
6142972,6142972,Surface (other),Sampling location,AWRC,Cockburn Sound - Jervoise Bay North,Jervoise Bay North,23012688 [WIN_ID]; 6142972 [SITE_REF]; CS6A [TEXT_REF],CS6A,50,382749.00,6442651.00,-32.146479718,115.756724048,GDA94
6142973,6142973,Surface (other),Sampling location,AWRC,Cockburn Sound - Jervoise Bay South,Jervoise Bay South,23012689 [WIN_ID]; 6142973 [SITE_REF]; CS7 [TEXT_REF],CS7,50,383323.00,6439972.00,-32.170702534,115.762482702,GDA94
6142974,6142974,Surface (other),Sampling location,AWRC,Cockburn Sound - Central,Central,23012690 [WIN_ID]; 6142974 [SITE_REF]; CS8 [TEXT_REF],CS8,50,379337.00,6436947.00,-32.197565325,115.719832875,GDA94
6142975,6142975,Surface (other),Sampling location,AWRC,Cockburn Sound - East,East,23012691 [WIN_ID]; 6142975 [SITE_REF]; CS9 [TEXT_REF],CS9,50,383098.00,6435629.00,-32.209850520,115.759565504,GDA94
6142976,6142976,Surface (other),Sampling location,AWRC,Cockburn Sound - East,East,23012692 [WIN_ID]; 6142976 [SITE_REF]; CS9A [TEXT_REF],CS9A,50,382367.00,6432396.00,-32.238933730,115.751411901,GDA94
6142977,6142977,Surface (other),Sampling location,AWRC,Cockburn Sound - Rockingham Beach,Rockingham Beach,23012693 [WIN_ID]; 6142977 [SITE_REF]; CS10N [TEXT_REF],CS10N,50,381396.00,6430437.00,-32.256500245,115.740863764,GDA94
6142980,6142980,Surface (other),Sampling location,AWRC,Garden Island Hmas Stirling - South,South,23012696 [WIN_ID]; 6142980 [SITE_REF]; CSG1 [TEXT_REF],CSG1,50,377319.00,6433380.00,-32.229518180,115.697969306,GDA94
6142983,6142983,Surface (other),Sampling location,AWRC,Cockburn Sound - Southern Flats,Southern Flats,23012699 [WIN_ID]; 6142983 [SITE_REF]; CSSF [TEXT_REF],CSSF,50,378716.00,6431322.00,-32.248231528,115.712530827,GDA94
6142984,6142984,Surface (other),Sampling location,AWRC,Cockburn Sound - Challenger Beach,Challenger Beach,23012700 [WIN_ID]; 6142984 [SITE_REF]; CSCB [TEXT_REF],CSCB,50,381133.00,6438605.00,-32.182802690,115.739089661,GDA94
6142987,6142987,Surface (other),Sampling location,AWRC,Cockburn Sound - Rockingham Beach,Rockingham Beach,23012703 [WIN_ID]; 6142987 [SITE_REF]; CS10 [TEXT_REF],CS10,50,381328.00,6430636.00,-32.254698215,115.740166796,GDA94
6142988,6142988,Surface (other),Sampling location,AWRC,Garden Island Hmas Stirling - Central,Central,23012707 [WIN_ID]; 6142988 [SITE_REF]; CSG2 [TEXT_REF],CSG2,50,377172.00,6434955.00,-32.215296932,115.696612266,GDA94
6142989,6142989,Surface (other),Sampling location,AWRC,Garden Island Hmas Stirling - North,North,23012705 [WIN_ID]; 6142989 [SITE_REF]; CSG3 [TEXT_REF],CSG3,50,376039.00,6436793.00,-32.198595247,115.684830758,GDA94
6147030,6147030,Surface (other),Sampling location,AWRC,North Cockburn Sound 4,North CS4,6147030 [SITE_REF]; NCS4T [TEXT_REF],NCS4T,50,377670.00,6441469.00,-32.156600181,115.702729242,GDA94
6147031,6147031,Surface (other),Sampling location,AWRC,South Cockburn Sound 13,South CS13,6147031 [SITE_REF]; SCS13T [TEXT_REF],SCS13T,50,380207.00,6431055.00,-32.250800060,115.728321342,GDA94
6147034,6147034,Surface (other),Sampling location,AWRC,South 2 - Cockburn Sound 11,South2 CS11,6147034 [SITE_REF]; S2CS11T [TEXT_REF],S2CS11T,50,378890.00,6429753.00,-32.262401536,115.714178019,GDA94
6147035,6147035,Surface (other),Sampling location,AWRC,Cockburn Sound - Desalination Plant,CS Desal,6147035 [SITE_REF]; DESAL [TEXT_REF],DESAL,50,381303.00,6436687.00,-32.200119898,115.740654371,GDA94

