Date,time,Station,K_490,Max_Depth,R_sq,Secchi Depth (m),Count,Light Attenuation Coefficient (m-1),Count,Turbidity (NTU),Count,Chlorophyll-a (µg/l),Count,Total Suspended Solids (mg/L),Count,Particulate Organic Carbon (mg/L),Count,Total Suspended Solids (mg/L),Count
12-Feb-2022,12:00:00,6147030,0.0718,17.4755,0.9094,NaN,NaN,NaN,NaN,0.1180,763.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
05-Apr-2022,12:00:00,6147031,0.2176,17.4470,0.9991,6.5667,3.0000,0.1192,3.0000,12.8709,1720.0000,2.0667,3.0000,1.8000,2.0000,0.2000,1.0000,1.8000,2.0000,
16-Apr-2022,12:00:00,6147031,0.2138,17.4570,0.9946,NaN,NaN,NaN,NaN,25.5271,1382.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
15-Apr-2022,12:00:00,6147031,0.1879,17.4590,0.9922,NaN,NaN,NaN,NaN,20.6944,1379.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
13-Apr-2022,12:00:00,6147031,0.1870,17.4450,0.9919,NaN,NaN,NaN,NaN,15.7519,1379.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
02-Apr-2022,12:00:00,6147031,0.1361,17.4335,0.9917,NaN,NaN,NaN,NaN,6.2802,1392.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
04-Mar-2022,12:00:00,6147031,0.2441,17.4380,0.9900,NaN,NaN,NaN,NaN,8.8207,1128.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
20-Apr-2022,12:00:00,6147031,0.2943,17.4670,0.9890,NaN,NaN,NaN,NaN,36.3948,1368.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
26-Feb-2022,12:00:00,6147031,0.1585,17.4485,0.9883,NaN,NaN,NaN,NaN,4.2605,1371.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Feb-2022,12:00:00,6147031,0.1476,17.4490,0.9881,NaN,NaN,NaN,NaN,4.0020,1386.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11-Apr-2022,12:00:00,6147031,0.2439,17.4825,0.9879,NaN,NaN,NaN,NaN,23.6807,1351.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
18-Mar-2022,12:00:00,6147031,0.0925,17.4520,0.9874,NaN,NaN,NaN,NaN,3.7209,1384.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
24-Feb-2022,12:00:00,6147031,0.1281,17.4485,0.9873,NaN,NaN,NaN,NaN,3.7470,1374.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
21-Apr-2022,12:00:00,6147031,0.2694,17.4525,0.9857,NaN,NaN,NaN,NaN,38.3759,1374.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Mar-2022,12:00:00,6147031,0.2293,17.4550,0.9836,NaN,NaN,NaN,NaN,6.2296,1363.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
03-Apr-2022,12:00:00,6147031,0.1044,17.4490,0.9831,NaN,NaN,NaN,NaN,21.5896,1392.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
19-Mar-2022,12:00:00,6147031,0.1281,17.4540,0.9825,NaN,NaN,NaN,NaN,3.5535,1383.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
19-Feb-2022,12:00:00,6147031,0.1102,17.4560,0.9805,NaN,NaN,NaN,NaN,2.7885,1392.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
19-Apr-2022,12:00:00,6147031,0.2509,17.4605,0.9746,NaN,NaN,NaN,NaN,34.2051,1369.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11-Mar-2022,12:00:00,6147031,0.1663,17.4365,0.9722,NaN,NaN,NaN,NaN,7.4873,1390.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
23-Mar-2022,12:00:00,6147031,0.2115,17.4390,0.9717,NaN,NaN,NaN,NaN,8.5320,1366.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
06-Feb-2022,12:00:00,6147031,0.2272,17.4360,0.9705,NaN,NaN,NaN,NaN,1.1395,1431.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Apr-2022,12:00:00,6147031,0.2948,17.4425,0.9704,NaN,NaN,NaN,NaN,37.8707,1383.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
05-Mar-2022,12:00:00,6147031,0.1685,17.4745,0.9698,NaN,NaN,NaN,NaN,9.3910,1347.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
31-Mar-2022,12:00:00,6147031,0.1485,17.4725,0.9673,NaN,NaN,NaN,NaN,4.0523,1392.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
03-Mar-2022,12:00:00,6147031,0.1870,17.4510,0.9669,NaN,NaN,NaN,NaN,5.6996,1136.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
24-Mar-2022,12:00:00,6147031,0.1914,17.4695,0.9666,NaN,NaN,NaN,NaN,17.9059,1371.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
06-Apr-2022,12:00:00,6147031,0.2316,17.4490,0.9655,6.2000,5.0000,0.1166,7.0000,7.2115,2342.0000,1.5714,7.0000,1.6500,4.0000,0.1950,2.0000,1.6500,4.0000,
27-Feb-2022,12:00:00,6147031,0.1584,17.4550,0.9649,NaN,NaN,NaN,NaN,5.5658,1371.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
16-Jan-2022,12:00:00,6147031,0.1657,17.4560,0.9623,NaN,NaN,NaN,NaN,28.3611,1409.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
07-Apr-2022,12:00:00,6147031,0.1843,17.4365,0.9605,5.6500,2.0000,0.1146,4.0000,7.9882,2008.0000,1.2000,4.0000,1.5000,2.0000,0.1900,1.0000,1.5000,2.0000,
07-Feb-2022,12:00:00,6147031,0.1665,17.4260,0.9577,NaN,NaN,NaN,NaN,1.4336,1419.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
