date,time,station,K_490,max_depth,R_sq
2022-02-12,012:00:00,6147030,0.071790842,17.4755,0.909436467
2022-04-05,012:00:00,6147031,0.217640947,17.447,0.999119642
2022-04-16,012:00:00,6147031,0.213777074,17.457,0.994556521
2022-04-15,012:00:00,6147031,0.187878709,17.459,0.99219045
2022-04-13,012:00:00,6147031,0.186965479,17.445,0.991901817
2022-04-02,012:00:00,6147031,0.136123282,17.4335,0.991727549
2022-03-04,012:00:00,6147031,0.244138915,17.438,0.990012705
2022-04-20,012:00:00,6147031,0.294253482,17.467,0.989048726
2022-02-26,012:00:00,6147031,0.158490635,17.4485,0.988339452
2022-02-22,012:00:00,6147031,0.147577035,17.449,0.988065178
2022-04-11,012:00:00,6147031,0.243936682,17.4825,0.987873892
2022-03-18,012:00:00,6147031,0.092497412,17.452,0.987400405
2022-02-24,012:00:00,6147031,0.12807172,17.4485,0.987289245
2022-04-21,012:00:00,6147031,0.269404031,17.4525,0.985727761
2022-03-22,012:00:00,6147031,0.229331244,17.455,0.983647553
2022-04-03,012:00:00,6147031,0.104362057,17.449,0.983131406
2022-03-19,012:00:00,6147031,0.12807278,17.454,0.982487877
2022-02-19,012:00:00,6147031,0.11021654,17.456,0.980452263
2022-04-19,012:00:00,6147031,0.250857487,17.4605,0.974621362
2022-03-11,012:00:00,6147031,0.166291487,17.4365,0.972213005
2022-03-23,012:00:00,6147031,0.211513913,17.439,0.971729434
2022-02-06,012:00:00,6147031,0.227159041,17.436,0.970532994
2022-04-22,012:00:00,6147031,0.29483214,17.4425,0.970401086
2022-03-05,012:00:00,6147031,0.168488008,17.4745,0.969831844
2022-03-31,012:00:00,6147031,0.148529861,17.4725,0.967279104
2022-03-03,012:00:00,6147031,0.186954827,17.451,0.966877723
2022-03-24,012:00:00,6147031,0.191441765,17.4695,0.966575652
2022-04-06,012:00:00,6147031,0.231613841,17.449,0.965451546
2022-02-27,012:00:00,6147031,0.158368796,17.455,0.964852925
2022-01-16,012:00:00,6147031,0.165710403,17.456,0.962273793
2022-04-07,012:00:00,6147031,0.184345416,17.4365,0.960503704
2022-02-07,012:00:00,6147031,0.166473435,17.426,0.957690859
2022-03-25,012:00:00,6147031,0.21860271,17.436,0.957438179
2022-01-17,012:00:00,6147031,0.155295978,17.4415,0.95564505
2022-03-01,012:00:00,6147031,0.144460467,17.4835,0.951099389
2022-02-02,012:00:00,6147031,0.133477167,17.435,0.949807288
2022-02-14,012:00:00,6147031,0.12405656,17.466,0.949805029
2022-04-04,012:00:00,6147031,0.169747766,17.444,0.947633859
2022-02-17,012:00:00,6147031,0.124169253,17.451,0.947594859
2022-02-18,012:00:00,6147031,0.114195169,17.454,0.9437732
2022-03-07,012:00:00,6147031,0.146042039,17.484,0.943057142
2022-04-01,012:00:00,6147031,0.248736047,17.4495,0.942021931
2022-04-12,012:00:00,6147031,0.206646207,17.4595,0.94065276
2022-03-10,012:00:00,6147031,0.15659136,17.471,0.93619176
2022-03-28,012:00:00,6147031,0.338955176,17.4415,0.933562205
2022-03-06,012:00:00,6147031,0.177151829,17.4495,0.93168207
2022-03-29,012:00:00,6147031,0.115958734,17.434,0.92499717
2022-02-23,012:00:00,6147031,0.126544984,17.4535,0.923969293
2022-02-16,012:00:00,6147031,0.104236322,17.4595,0.903948765
2022-01-15,012:00:00,6147034,0.242196812,13.4775,0.996996238
2022-04-04,012:00:00,6147034,0.102846064,14.467,0.992759589
2022-01-14,012:00:00,6147034,0.237107097,13.475,0.990084983
2022-02-08,012:00:00,6147034,0.145176796,14.453,0.98573581
2022-03-31,012:00:00,6147034,0.163259513,14.4525,0.984533688
2022-03-29,012:00:00,6147034,0.119562304,14.48,0.983099677
2022-04-03,012:00:00,6147034,0.08828735,14.475,0.982970833
2022-04-02,012:00:00,6147034,0.151774596,14.472,0.982770502
2022-03-18,012:00:00,6147034,0.097968912,14.468,0.979784291
2022-03-09,012:00:00,6147034,0.233621721,14.469,0.97904186
2022-04-24,012:00:00,6147034,0.300526003,14.513,0.977471829
2022-02-13,012:00:00,6147034,0.185608904,14.472,0.977448571
2022-02-15,012:00:00,6147034,0.140003561,14.4625,0.976361962
2022-02-10,012:00:00,6147034,0.140349482,14.4655,0.975427303
2022-04-07,012:00:00,6147034,0.236539395,14.4395,0.975417838
2022-03-23,012:00:00,6147034,0.207657983,14.4635,0.971998306
2022-04-06,012:00:00,6147034,0.271272167,14.464,0.97093862
2022-04-25,012:00:00,6147034,0.245283985,14.461,0.970547363
2022-03-02,012:00:00,6147034,0.421066379,13.426,0.969594898
2022-02-12,012:00:00,6147034,0.140155082,13.4485,0.965253292
2022-01-08,012:00:00,6147034,0.121880441,13.465,0.958449671
2022-01-17,012:00:00,6147034,0.147439282,13.4315,0.95460448
2022-04-29,012:00:00,6147034,0.273412975,14.473,0.951486759
2022-03-13,012:00:00,6147034,0.168116933,14.47,0.944642962
2022-01-18,012:00:00,6147034,0.144674786,13.5,0.943682202
2022-02-22,012:00:00,6147034,0.179420561,14.433,0.943654303
2022-03-22,012:00:00,6147034,0.25111752,14.4575,0.941006917
2022-03-16,012:00:00,6147034,0.161194631,14.4635,0.940611831
2022-04-15,012:00:00,6147034,0.281453964,14.47,0.937387309
2022-02-27,012:00:00,6147034,0.23759264,14.4405,0.936301905
2022-03-01,012:00:00,6147034,0.246134708,14.4235,0.935937185
2022-04-28,012:00:00,6147034,0.299403268,14.464,0.9343545
2022-04-26,012:00:00,6147034,0.158678692,14.453,0.930114831
2022-01-01,012:00:00,6147034,0.123302898,14.491,0.929171702
2022-02-11,012:00:00,6147034,0.141043769,14.4485,0.928391739
