Date,time,Station,K_490,Max_Depth,R_sq,Secchi Depth (m),Count,Light Attenuation Coefficient (m-1),Count,Turbidity (NTU),Count,Chlorophyll-a (µg/l),Count,Total Suspended Solids (mg/L),Count,Particulate Organic Carbon (mg/L),Count,Total Suspended Solids (mg/L),Count
12-Feb-2022,12:00:00,6147030,0.0718,17.4755,0.9094,NaN,NaN,NaN,NaN,0.1467,5072.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
05-Apr-2022,12:00:00,6147031,0.2176,17.4470,0.9991,6.2000,5.0000,0.1166,7.0000,12.6787,10636.0000,1.5714,7.0000,1.6500,4.0000,0.1950,2.0000,1.6500,4.0000,
16-Apr-2022,12:00:00,6147031,0.2138,17.4570,0.9946,NaN,NaN,NaN,NaN,26.6842,9613.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
15-Apr-2022,12:00:00,6147031,0.1879,17.4590,0.9922,NaN,NaN,NaN,NaN,25.3028,9611.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
13-Apr-2022,12:00:00,6147031,0.1870,17.4450,0.9919,5.6500,2.0000,0.1146,4.0000,20.1559,10245.0000,1.2000,4.0000,1.5000,2.0000,0.1900,1.0000,1.5000,2.0000,
02-Apr-2022,12:00:00,6147031,0.1361,17.4335,0.9917,6.2000,5.0000,0.1166,7.0000,10.2958,9344.0000,1.5714,7.0000,1.6500,4.0000,0.1950,2.0000,1.6500,4.0000,
04-Mar-2022,12:00:00,6147031,0.2441,17.4380,0.9900,7.6800,5.0000,0.0994,7.0000,6.5575,10352.0000,1.0857,7.0000,2.1000,4.0000,0.3000,2.0000,2.1000,4.0000,
20-Apr-2022,12:00:00,6147031,0.2943,17.4670,0.9890,NaN,NaN,NaN,NaN,30.4657,8136.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
26-Feb-2022,12:00:00,6147031,0.1585,17.4485,0.9883,NaN,NaN,NaN,NaN,5.2693,9392.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Feb-2022,12:00:00,6147031,0.1476,17.4490,0.9881,NaN,NaN,NaN,NaN,3.7935,9668.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11-Apr-2022,12:00:00,6147031,0.2439,17.4825,0.9879,6.2000,5.0000,0.1166,7.0000,17.1582,10596.0000,1.5714,7.0000,1.6500,4.0000,0.1950,2.0000,1.6500,4.0000,
18-Mar-2022,12:00:00,6147031,0.0925,17.4520,0.9874,NaN,NaN,NaN,NaN,7.3356,9653.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
24-Feb-2022,12:00:00,6147031,0.1281,17.4485,0.9873,NaN,NaN,NaN,NaN,4.5006,9653.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
21-Apr-2022,12:00:00,6147031,0.2694,17.4525,0.9857,NaN,NaN,NaN,NaN,32.4645,7758.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Mar-2022,12:00:00,6147031,0.2293,17.4550,0.9836,NaN,NaN,NaN,NaN,7.7581,8274.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
03-Apr-2022,12:00:00,6147031,0.1044,17.4490,0.9831,6.2000,5.0000,0.1166,7.0000,10.6433,10034.0000,1.5714,7.0000,1.6500,4.0000,0.1950,2.0000,1.6500,4.0000,
19-Mar-2022,12:00:00,6147031,0.1281,17.4540,0.9825,NaN,NaN,NaN,NaN,7.6502,9606.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
19-Feb-2022,12:00:00,6147031,0.1102,17.4560,0.9805,NaN,NaN,NaN,NaN,3.0060,9744.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
19-Apr-2022,12:00:00,6147031,0.2509,17.4605,0.9746,NaN,NaN,NaN,NaN,28.7589,8513.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11-Mar-2022,12:00:00,6147031,0.1663,17.4365,0.9722,7.6800,5.0000,0.0994,7.0000,6.7374,10638.0000,1.0857,7.0000,2.1000,4.0000,0.3000,2.0000,2.1000,4.0000,
23-Mar-2022,12:00:00,6147031,0.2115,17.4390,0.9717,NaN,NaN,NaN,NaN,7.8016,8278.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
06-Feb-2022,12:00:00,6147031,0.2272,17.4360,0.9705,5.8000,5.0000,0.0889,7.0000,6.5484,9863.0000,0.8571,7.0000,1.8500,4.0000,0.1700,2.0000,1.8500,4.0000,
22-Apr-2022,12:00:00,6147031,0.2948,17.4425,0.9704,NaN,NaN,NaN,NaN,33.7032,7382.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
05-Mar-2022,12:00:00,6147031,0.1685,17.4745,0.9698,7.6800,5.0000,0.0994,7.0000,6.7939,10362.0000,1.0857,7.0000,2.1000,4.0000,0.3000,2.0000,2.1000,4.0000,
31-Mar-2022,12:00:00,6147031,0.1485,17.4725,0.9673,6.2000,5.0000,0.1166,7.0000,11.0612,9296.0000,1.5714,7.0000,1.6500,4.0000,0.1950,2.0000,1.6500,4.0000,
03-Mar-2022,12:00:00,6147031,0.1870,17.4510,0.9669,7.6800,5.0000,0.0994,7.0000,6.2882,10346.0000,1.0857,7.0000,2.1000,4.0000,0.3000,2.0000,2.1000,4.0000,
24-Mar-2022,12:00:00,6147031,0.1914,17.4695,0.9666,NaN,NaN,NaN,NaN,7.4647,8282.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
06-Apr-2022,12:00:00,6147031,0.2316,17.4490,0.9655,6.2000,5.0000,0.1166,7.0000,13.3763,10629.0000,1.5714,7.0000,1.6500,4.0000,0.1950,2.0000,1.6500,4.0000,
27-Feb-2022,12:00:00,6147031,0.1584,17.4550,0.9649,NaN,NaN,NaN,NaN,5.6222,9370.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
16-Jan-2022,12:00:00,6147031,0.1657,17.4560,0.9623,NaN,NaN,NaN,NaN,16.2363,9900.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
07-Apr-2022,12:00:00,6147031,0.1843,17.4365,0.9605,6.2000,5.0000,0.1166,7.0000,14.1570,10624.0000,1.5714,7.0000,1.6500,4.0000,0.1950,2.0000,1.6500,4.0000,
07-Feb-2022,12:00:00,6147031,0.1665,17.4260,0.9577,5.8000,5.0000,0.0889,7.0000,6.1282,10166.0000,0.8571,7.0000,1.8500,4.0000,0.1700,2.0000,1.8500,4.0000,
25-Mar-2022,12:00:00,6147031,0.2186,17.4360,0.9574,NaN,NaN,NaN,NaN,7.4336,8286.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
17-Jan-2022,12:00:00,6147031,0.1553,17.4415,0.9556,NaN,NaN,NaN,NaN,16.1342,9602.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
