Date,Depth,Max Discharge (m/s),QC,Mean Discharge (m/s),QC,Min Discharge (m/s),QC,Discharge (ML),QC,Max Stage Height CTF (m),QC,Mean Stage Height CTF (m),QC,Min Stage Height CTF (m),QC,Max Stage Height (m),QC,Mean Stage Height (m),QC,Min Stage Height (m),QC
11-06-2010 00:00:00,0.00,    ,,    ,,    ,,    ,,-0.3130,N,    ,,-0.3180,N,9.6870,N,    ,,9.6820,N
12-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,-0.3130,N,-0.3150,N,-0.3200,N,9.6870,N,9.6850,N,9.6800,N
13-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,-0.3130,N,-0.3150,N,-0.3190,N,9.6870,N,9.6850,N,9.6810,N
14-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,-0.3130,N,-0.3160,N,-0.3200,N,9.6870,N,9.6840,N,9.6800,N
15-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,-0.3130,N,-0.3150,N,-0.3180,N,9.6870,N,9.6850,N,9.6820,N
16-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.1300,N,0.0600,N,-0.3140,N,10.1300,N,10.0600,N,9.6860,N
17-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.1140,N,0.0970,N,0.0850,N,10.1140,N,10.0970,N,10.0850,N
18-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0850,N,0.0730,N,0.0610,N,10.0850,N,10.0730,N,10.0610,N
19-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0620,N,0.0520,N,0.0380,N,10.0620,N,10.0520,N,10.0380,N
20-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0390,N,0.0250,N,0.0020,N,10.0390,N,10.0250,N,10.0020,N
21-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0020,N,-0.0210,N,-0.0470,N,10.0020,N,9.9790,N,9.9530,N
22-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,-0.0470,N,-0.0740,N,-0.1010,N,9.9530,N,9.9260,N,9.8990,N
23-06-2010 00:00:00,0.00,0.0460,N,0.0000,N,0.0370,N,0.0000,N,0.1760,N,0.0130,N,-0.1110,N,10.1760,N,10.0130,N,9.8890,N
24-06-2010 00:00:00,0.00,0.0430,N,0.0000,N,0.0290,N,0.0000,N,0.1700,N,0.1360,N,0.1060,N,10.1700,N,10.1360,N,10.1060,N
25-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.1060,N,0.0910,N,0.0790,N,10.1060,N,10.0910,N,10.0790,N
26-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0800,N,0.0710,N,0.0620,N,10.0800,N,10.0710,N,10.0620,N
27-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0620,N,0.0550,N,0.0470,N,10.0620,N,10.0550,N,10.0470,N
28-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0640,N,0.0430,N,0.0410,N,10.0640,N,10.0430,N,10.0410,N
29-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.1320,N,0.1010,N,0.0640,N,10.1320,N,10.1010,N,10.0640,N
30-06-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0770,N,0.0640,N,0.0540,N,10.0770,N,10.0640,N,10.0540,N
01-07-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0540,N,0.0470,N,0.0410,N,10.0540,N,10.0470,N,10.0410,N
02-07-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0410,N,0.0340,N,0.0190,N,10.0410,N,10.0340,N,10.0190,N
03-07-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0190,N,0.0070,N,-0.0010,N,10.0190,N,10.0070,N,9.9990,N
04-07-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,0.0000,N,-0.0040,N,-0.0080,N,10.0000,N,9.9960,N,9.9920,N
05-07-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,-0.0080,N,-0.0150,N,-0.0230,N,9.9920,N,9.9850,N,9.9770,N
06-07-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,-0.0230,N,-0.0320,N,-0.0420,N,9.9770,N,9.9680,N,9.9580,N
07-07-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,-0.0420,N,-0.0500,N,-0.0600,N,9.9580,N,9.9500,N,9.9400,N
08-07-2010 00:00:00,0.00,    ,,0.0000,N,    ,,0.0000,N,-0.0600,N,-0.0660,N,-0.0700,N,9.9400,N,9.9340,N,9.9300,N
09-07-2010 00:00:00,0.00,0.2170,N,0.0000,N,0.0590,N,0.0000,N,0.3640,N,0.1800,N,-0.0680,N,10.3640,N,10.1800,N,9.9320,N
10-07-2010 00:00:00,0.00,0.1900,N,0.1540,N,0.1160,N,13.2770,N,0.3400,N,0.3070,N,0.2700,N,10.3400,N,10.3070,N,10.2700,N
11-07-2010 00:00:00,0.00,0.2340,N,0.1500,N,0.1010,N,12.9190,N,0.3790,N,0.3010,N,0.2530,N,10.3790,N,10.3010,N,10.2530,N
12-07-2010 00:00:00,0.00,0.7050,N,0.5670,N,0.2340,N,48.9520,N,0.7380,N,0.6370,N,0.3790,N,10.7380,N,10.6370,N,10.3790,N
13-07-2010 00:00:00,0.00,0.6430,N,0.4200,N,0.2480,N,36.2590,N,0.6970,N,0.5280,N,0.3910,N,10.6970,N,10.5280,N,10.3910,N
14-07-2010 00:00:00,0.00,0.2480,N,0.1850,N,0.1420,N,15.9900,N,0.3910,N,0.3360,N,0.2960,N,10.3910,N,10.3360,N,10.2960,N
15-07-2010 00:00:00,0.00,0.1420,N,0.1180,N,0.1010,N,10.2200,N,0.2960,N,0.2720,N,0.2530,N,10.2960,N,10.2720,N,10.2530,N
16-07-2010 00:00:00,0.00,0.1010,N,0.0890,N,0.0810,N,7.7290,N,0.2530,N,0.2400,N,0.2290,N,10.2530,N,10.2400,N,10.2290,N
17-07-2010 00:00:00,0.00,0.0930,N,0.0840,N,0.0770,N,7.2310,N,0.2440,N,0.2320,N,0.2230,N,10.2440,N,10.2320,N,10.2230,N
18-07-2010 00:00:00,0.00,0.0770,N,0.0700,N,0.0630,N,6.0910,N,0.2240,N,0.2140,N,0.2030,N,10.2240,N,10.2140,N,10.2030,N
19-07-2010 00:00:00,0.00,0.0630,N,0.0580,N,0.0540,N,5.0430,N,0.2030,N,0.1960,N,0.1890,N,10.2030,N,10.1960,N,10.1890,N
20-07-2010 00:00:00,0.00,0.0540,N,0.0500,N,0.0460,N,4.3460,N,0.1890,N,0.1830,N,0.1760,N,10.1890,N,10.1830,N,10.1760,N
21-07-2010 00:00:00,0.00,0.0460,N,0.0440,N,0.0410,N,3.8150,N,0.1760,N,0.1720,N,0.1660,N,10.1760,N,10.1720,N,10.1660,N
22-07-2010 00:00:00,0.00,0.0420,N,0.0400,N,0.0380,N,3.4780,N,0.1680,N,0.1640,N,0.1590,N,10.1680,N,10.1640,N,10.1590,N
23-07-2010 00:00:00,0.00,0.0380,N,0.0360,N,0.0340,N,3.1230,N,0.1590,N,0.1560,N,0.1510,N,10.1590,N,10.1560,N,10.1510,N
24-07-2010 00:00:00,0.00,0.0340,N,0.0320,N,0.0310,N,2.8030,N,0.1510,N,0.1480,N,0.1440,N,10.1510,N,10.1480,N,10.1440,N
25-07-2010 00:00:00,0.00,0.0330,N,0.0000,N,0.0290,N,0.0000,N,0.1480,N,0.1450,N,0.1390,N,10.1480,N,10.1450,N,10.1390,N
26-07-2010 00:00:00,0.00,0.0360,N,0.0000,N,0.0290,N,0.0000,N,0.1560,N,0.1470,N,0.1400,N,10.1560,N,10.1470,N,10.1400,N
27-07-2010 00:00:00,0.00,0.0380,N,0.0350,N,0.0340,N,3.0410,N,0.1590,N,0.1540,N,0.1510,N,10.1590,N,10.1540,N,10.1510,N
28-07-2010 00:00:00,0.00,0.0490,N,0.0440,N,0.0360,N,3.7870,N,0.1800,N,0.1710,N,0.1560,N,10.1800,N,10.1710,N,10.1560,N
29-07-2010 00:00:00,0.00,0.1270,N,0.0840,N,0.0430,N,7.2650,N,0.2810,N,0.2300,N,0.1690,N,10.2810,N,10.2300,N,10.1690,N
30-07-2010 00:00:00,0.00,0.1310,N,0.1010,N,0.0770,N,8.7160,N,0.2850,N,0.2520,N,0.2240,N,10.2850,N,10.2520,N,10.2240,N
31-07-2010 00:00:00,0.00,0.0770,N,0.0670,N,0.0580,N,5.7940,N,0.2240,N,0.2090,N,0.1950,N,10.2240,N,10.2090,N,10.1950,N
01-08-2010 00:00:00,0.00,0.0580,N,0.0530,N,0.0480,N,4.5660,N,0.1950,N,0.1870,N,0.1790,N,10.1950,N,10.1870,N,10.1790,N
02-08-2010 00:00:00,0.00,0.0480,N,0.0460,N,0.0430,N,3.9310,N,0.1790,N,0.1740,N,0.1690,N,10.1790,N,10.1740,N,10.1690,N
03-08-2010 00:00:00,0.00,0.0430,N,0.0410,N,0.0380,N,3.5000,N,0.1700,N,0.1650,N,0.1590,N,10.1700,N,10.1650,N,10.1590,N
