Date,Depth,Bottom Depth (m),QC,Cloud Cover (%),QC,Conductivity (\muS/cm),QC,O2 Saturation (%),QC,Oxygen (mg/L),QC,pH (),QC,Salinity (psu),QC,Secchi depth (m),QC,Temperature (^{\circ}C),QC,Turbidity (NTU),QC,Wind Direction ((ø)),QC,Wind Speed (m/s),QC
25-01-2010 10:23:00,0.00,-2.1000,Good,100.0000,Good,    ,,    ,,    ,,    ,,    ,,0.6000,Good,    ,,    ,,    ,,0.0000,Good
25-01-2010 10:31:48,-0.21,    ,,    ,,25770.0000,Good,78.3000,Good,5.6000,Good,7.5200,Good,15.6700,Good,    ,,28.1900,Good,    ,,    ,,    ,
25-01-2010 10:32:38,-0.50,    ,,    ,,25810.0000,Good,74.3000,Good,5.3100,Good,7.5400,Good,15.6900,Good,    ,,28.1800,Good,    ,,    ,,    ,
25-01-2010 10:33:09,-1.02,    ,,    ,,26030.0000,Good,68.3000,Good,4.8900,Good,7.5200,Good,15.8400,Good,    ,,28.1100,Good,    ,,    ,,    ,
25-01-2010 10:33:46,-1.50,    ,,    ,,28650.0000,Good,36.1000,Good,2.5400,Good,7.3800,Good,17.5900,Good,    ,,28.4400,Good,    ,,    ,,    ,
25-01-2010 10:34:24,-2.01,    ,,    ,,29300.0000,Good,26.5000,Good,1.8600,Good,7.3300,Good,18.0300,Good,    ,,28.5700,Good,    ,,    ,,    ,
25-01-2010 10:34:48,-2.15,    ,,    ,,29420.0000,Good,24.0000,Good,1.6800,Good,7.3100,Good,18.1100,Good,    ,,28.6000,Good,    ,,    ,,    ,
08-02-2010 11:32:12,-0.21,    ,,    ,,28410.0000,Good,104.5000,Good,7.4800,Good,7.6800,Good,17.4500,Good,    ,,27.5400,Good,    ,,    ,,    ,
08-02-2010 11:33:00,0.00,-2.0000,Good,40.0000,Good,    ,,    ,,    ,,    ,,    ,,1.2000,Good,    ,,    ,,135.0000,Good,1.5300,Good
08-02-2010 11:33:10,-0.50,    ,,    ,,28820.0000,Good,107.9000,Good,7.8200,Good,7.7000,Good,17.7400,Good,    ,,26.7500,Good,    ,,    ,,    ,
08-02-2010 11:34:21,-1.01,    ,,    ,,29670.0000,Good,88.7000,Good,6.4800,Good,7.5700,Good,18.3300,Good,    ,,26.1500,Good,    ,,    ,,    ,
08-02-2010 11:35:08,-1.53,    ,,    ,,30070.0000,Good,73.7000,Good,5.3900,Good,7.4700,Good,18.6000,Good,    ,,25.9700,Good,    ,,    ,,    ,
15-02-2010 10:59:34,-0.20,    ,,    ,,31290.0000,Good,81.3000,Good,5.6400,Good,7.6100,Good,19.3800,Good,    ,,28.7200,Good,    ,,    ,,    ,
15-02-2010 11:00:00,0.00,-1.9000,Good,40.0000,Good,    ,,    ,,    ,,    ,,    ,,1.0000,Good,    ,,    ,,    ,,0.0000,Good
15-02-2010 11:00:12,-0.51,    ,,    ,,31360.0000,Good,79.6000,Good,5.5600,Good,7.6100,Good,19.4400,Good,    ,,28.3000,Good,    ,,    ,,    ,
15-02-2010 11:01:10,-1.00,    ,,    ,,31780.0000,Good,67.0000,Good,4.7200,Good,7.5500,Good,19.7400,Good,    ,,27.7200,Good,    ,,    ,,    ,
15-02-2010 11:02:03,-1.50,    ,,    ,,33550.0000,Good,54.6000,Good,3.8200,Good,7.4900,Good,20.9500,Good,    ,,27.8100,Good,    ,,    ,,    ,
15-02-2010 11:02:45,-1.95,    ,,    ,,34230.0000,Good,51.9000,Good,3.6200,Good,7.4900,Good,21.4200,Good,    ,,27.8500,Good,    ,,    ,,    ,
15-03-2010 10:57:41,-0.20,    ,,    ,,38860.0000,Good,155.3000,Good,10.8500,Good,8.2300,Good,24.6800,Good,    ,,26.5800,Good,    ,,    ,,    ,
15-03-2010 10:59:00,0.00,    ,,80.0000,Good,    ,,    ,,    ,,    ,,    ,,0.5000,Good,    ,,    ,,225.0000,Good,2.5500,Good
15-03-2010 10:59:15,-0.50,    ,,    ,,38890.0000,Good,162.2000,Good,11.3500,Good,8.2400,Good,24.7000,Good,    ,,26.5100,Good,    ,,    ,,    ,
15-03-2010 11:01:44,-1.00,    ,,    ,,39500.0000,Good,138.7000,Good,9.7300,Good,8.1800,Good,25.1400,Good,    ,,26.2400,Good,    ,,    ,,    ,
15-03-2010 11:02:39,-1.51,    ,,    ,,40080.0000,Good,98.0000,Good,6.8900,Good,8.0000,Good,25.5600,Good,    ,,25.9500,Good,    ,,    ,,    ,
15-03-2010 11:03:38,-2.00,    ,,    ,,41490.0000,Good,42.2000,Good,2.9500,Good,7.6800,Good,26.5600,Good,    ,,25.8200,Good,    ,,    ,,    ,
15-03-2010 11:04:14,-2.24,    ,,    ,,41520.0000,Good,36.3000,Good,2.5400,Good,7.6700,Good,26.5800,Good,    ,,25.8100,Good,    ,,    ,,    ,
22-03-2010 10:58:00,0.00,-1.4000,Good,95.0000,Good,    ,,    ,,    ,,    ,,    ,,0.8000,Good,    ,,    ,,45.0000,Good,0.5100,Good
29-03-2010 11:36:21,-0.21,    ,,    ,,37220.0000,Good,171.1000,Good,12.4900,Good,8.0900,Good,23.5700,Good,    ,,24.4400,Good,    ,,    ,,    ,
29-03-2010 11:37:00,0.00,-2.0000,Good,0.0000,Good,    ,,    ,,    ,,    ,,    ,,0.6000,Good,    ,,    ,,45.0000,Good,1.0200,Good
29-03-2010 11:37:41,-0.50,    ,,    ,,37210.0000,Good,154.9000,Good,11.3400,Good,8.0300,Good,23.5700,Good,    ,,24.2900,Good,    ,,    ,,    ,
29-03-2010 11:38:56,-0.99,    ,,    ,,37320.0000,Good,99.2000,Good,7.3400,Good,7.6900,Good,23.6600,Good,    ,,23.6400,Good,    ,,    ,,    ,
29-03-2010 11:39:27,-1.51,    ,,    ,,37350.0000,Good,97.0000,Good,7.1900,Good,7.6700,Good,23.6800,Good,    ,,23.5700,Good,    ,,    ,,    ,
29-03-2010 11:40:02,-2.01,    ,,    ,,37350.0000,Good,92.6000,Good,6.8700,Good,7.6400,Good,23.6800,Good,    ,,23.5400,Good,    ,,    ,,    ,
06-04-2010 12:36:00,0.00,-2.2000,Good,90.0000,Good,    ,,    ,,    ,,    ,,    ,,0.6000,Good,    ,,    ,,    ,,0.0000,Good
06-04-2010 12:39:32,-0.17,    ,,    ,,22040.0000,Good,166.3000,Good,13.3600,Good,8.0500,Good,13.2800,Good,    ,,22.4200,Good,    ,,    ,,    ,
06-04-2010 12:40:08,-0.50,    ,,    ,,22240.0000,Good,150.2000,Good,12.0800,Good,7.9300,Good,13.4100,Good,    ,,22.2900,Good,    ,,    ,,    ,
06-04-2010 12:40:43,-1.02,    ,,    ,,25090.0000,Good,91.3000,Good,7.3000,Good,7.4800,Good,15.3000,Good,    ,,22.0700,Good,    ,,    ,,    ,
06-04-2010 12:41:34,-1.55,    ,,    ,,31770.0000,Good,43.8000,Good,3.3700,Good,7.3000,Good,19.8100,Good,    ,,22.7600,Good,    ,,    ,,    ,
06-04-2010 12:42:24,-2.04,    ,,    ,,34320.0000,Good,21.8000,Good,1.6500,Good,7.2500,Good,21.5700,Good,    ,,22.9500,Good,    ,,    ,,    ,
06-04-2010 12:43:04,-2.21,    ,,    ,,34340.0000,Good,18.6000,Good,1.4100,Good,7.2400,Good,21.5900,Good,    ,,22.9500,Good,    ,,    ,,    ,
12-04-2010 11:27:57,-0.21,    ,,    ,,25450.0000,Good,118.1000,Good,9.5300,Good,7.8300,Good,15.5500,Good,    ,,21.4700,Good,    ,,    ,,    ,
12-04-2010 11:28:00,0.00,-2.2000,Good,100.0000,Good,    ,,    ,,    ,,    ,,    ,,0.8000,Good,    ,,    ,,    ,,0.0000,Good
12-04-2010 11:28:50,-0.51,    ,,    ,,25790.0000,Good,115.9000,Good,9.3300,Good,7.8100,Good,15.7700,Good,    ,,21.5200,Good,    ,,    ,,    ,
12-04-2010 11:30:14,-1.01,    ,,    ,,26630.0000,Good,102.2000,Good,8.1700,Good,7.7200,Good,16.3400,Good,    ,,21.7100,Good,    ,,    ,,    ,
12-04-2010 11:31:43,-1.52,    ,,    ,,31150.0000,Good,64.1000,Good,4.9800,Good,7.4700,Good,19.4000,Good,    ,,22.3100,Good,    ,,    ,,    ,
