Date,Depth,Total Alkalinity (mg/L),QC,Bottom Depth (m),QC,Dissolved Organic Carbon (mg/L),QC,Chlorophyll-a (\mug/L),QC,Chlorophyll-b (\mug/L),QC,Chlorophyll-c (\mug/L),QC,Chlorophyll sample volume ((mL)),QC,Cloud Cover (%),QC,Conductivity (\muS/cm),QC,Dissolved Organic Nitrogen (mg/L),QC,Nitrate (mg/L),QC,Total TKN (mg/L),QC,Total Nitrogen (mg/L),QC,Ammonium (mg/L),QC,O2 Saturation (%),QC,Oxygen (mg/L),QC,Total Phosphorus (mg/L),QC,pH (),QC,Phaeophytin a (mg/L),QC,Filterable Reactive Phosphate (mg/L),QC,Salinity (psu),QC,Secchi depth (m),QC,Reactive Silica (mg/L),QC,Total Suspended Solids (mg/L),QC,Temperature (^{\circ}C),QC,Turbidity (NTU),QC,Wind Direction ((ø)),QC,Wind Speed (m/s),QC
09-12-2019 11:06:00,0.00,120000.0000,Good,    ,,3.3000,Good,0.0032,Good,    ,,0.0006,Good,1000.0000,Good,    ,,    ,,0.2400,Good,    ,,0.2900,Good,0.2900,Good,    ,,    ,,    ,,0.0270,Good,    ,,0.0014,Good,0.0130,Good,    ,,    ,,0.7300,Good,7.0000,Good,    ,,    ,,    ,,    ,
09-12-2019 11:06:01,-5.50,    ,,    ,,    ,,0.0035,Good,    ,,0.0008,Good,2000.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.0011,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,
09-12-2019 11:11:00,-6.30,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,0.1800,Good,0.0180,Good,0.2300,Good,0.2400,Good,    ,,    ,,    ,,0.0220,Good,    ,,    ,,0.0150,Good,    ,,    ,,0.8300,Good,    ,,    ,,    ,,    ,,    ,
16-12-2019 10:16:00,0.00,    ,,-6.3000,Good,    ,,    ,,    ,,    ,,    ,,0.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,3.5000,Good,    ,,    ,,    ,,    ,,270.0000,Good,1.5810,Good
16-12-2019 10:16:01,0.00,120000.0000,Good,    ,,3.5000,Good,0.0028,Good,    ,,0.0008,Good,1000.0000,Good,    ,,    ,,0.1900,Good,    ,,0.3600,Good,0.3600,Good,    ,,    ,,    ,,0.0400,Good,    ,,0.0007,Good,0.0120,Good,    ,,    ,,0.8200,Good,9.0000,Good,    ,,    ,,    ,,    ,
16-12-2019 10:16:03,-5.50,    ,,    ,,    ,,0.0032,Good,0.0007,Good,0.0013,Good,2000.0000,Good,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,
16-12-2019 10:16:05,-0.20,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,51347.0000,Good,    ,,    ,,    ,,    ,,    ,,92.2000,Good,6.1100,Good,    ,,7.9000,Good,    ,,    ,,33.6900,Good,    ,,    ,,    ,,26.7040,Good,1.3900,Good,    ,,    ,
16-12-2019 10:16:45,-0.50,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,51333.0000,Good,    ,,    ,,    ,,    ,,    ,,88.5000,Good,5.9200,Good,    ,,7.9000,Good,    ,,    ,,33.6900,Good,    ,,    ,,    ,,26.1300,Good,1.5300,Good,    ,,    ,
16-12-2019 10:17:22,-1.00,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,51386.0000,Good,    ,,    ,,    ,,    ,,    ,,88.3000,Good,5.9200,Good,    ,,7.9000,Good,    ,,    ,,33.7300,Good,    ,,    ,,    ,,26.0530,Good,2.4900,Good,    ,,    ,
16-12-2019 10:17:58,-1.50,    ,,    ,,    ,,    ,,    ,,    ,,    ,,    ,,51403.0000,Good,    ,,    ,,    ,,    ,,    ,,88.5000,Good,5.9400,Good,    ,,7.9000,Good,    ,,    ,,33.7500,Good,    ,,    ,,    ,,25.9230,Good,1.4700,Good,    ,,    ,
