Date,Depth,Max Discharge (m/s),QC,Mean Discharge (m/s),QC,Min Discharge (m/s),QC,Discharge (ML),QC,Max Stage Height CTF (m),QC,Mean Stage Height CTF (m),QC,Min Stage Height CTF (m),QC,Max Stage Height (m),QC,Mean Stage Height (m),QC,Min Stage Height (m),QC
01-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3630,N,-0.3720,N,-0.3820,N,9.6360,N,9.6270,N,9.6170,N
02-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3810,N,-0.3870,N,-0.3900,N,9.6180,N,9.6120,N,9.6090,N
03-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3900,N,-0.3910,N,-0.3910,N,9.6090,N,9.6080,N,9.6080,N
04-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3910,N,-0.3920,N,-0.3930,N,9.6080,N,9.6070,N,9.6060,N
05-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3930,N,-0.3930,N,-0.3930,N,9.6060,N,9.6060,N,9.6060,N
06-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3930,N,-0.3940,N,-0.3940,N,9.6060,N,9.6050,N,9.6050,N
07-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3940,N,-0.3940,N,-0.3940,N,9.6050,N,9.6050,N,9.6050,N
08-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3940,N,-0.3940,N,-0.3940,N,9.6050,N,9.6050,N,9.6050,N
09-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3940,N,-0.3940,N,-0.3940,N,9.6050,N,9.6050,N,9.6050,N
10-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3940,N,-0.3940,N,-0.3950,N,9.6050,N,9.6050,N,9.6040,N
11-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3940,N,-0.3950,N,-0.3950,N,9.6050,N,9.6040,N,9.6040,N
12-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3950,N,-0.3950,N,-0.3950,N,9.6040,N,9.6040,N,9.6040,N
13-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3950,N,-0.3950,N,-0.3950,N,9.6040,N,9.6040,N,9.6040,N
14-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3950,N,-0.3950,N,-0.3950,N,9.6040,N,9.6040,N,9.6040,N
15-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3950,N,-0.3950,N,-0.3950,N,9.6040,N,9.6040,N,9.6040,N
16-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3950,N,-0.3950,N,-0.3950,N,9.6040,N,9.6040,N,9.6040,N
17-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3950,N,-0.3950,N,-0.3960,N,9.6040,N,9.6040,N,9.6030,N
18-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3960,N,-0.3960,N,-0.3960,N,9.6030,N,9.6030,N,9.6030,N
19-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3960,N,-0.3960,N,-0.3960,N,9.6030,N,9.6030,N,9.6030,N
20-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3960,N,-0.3960,N,-0.3960,N,9.6030,N,9.6030,N,9.6030,N
21-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3960,N,-0.3960,N,-0.3960,N,9.6030,N,9.6030,N,9.6030,N
22-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3960,N,-0.3960,N,-0.3960,N,9.6030,N,9.6030,N,9.6030,N
23-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3960,N,-0.3960,N,-0.3960,N,9.6030,N,9.6030,N,9.6030,N
24-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3960,N,-0.3960,N,-0.3960,N,9.6030,N,9.6030,N,9.6030,N
25-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3960,N,-0.3960,N,-0.3960,N,9.6030,N,9.6030,N,9.6030,N
26-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3960,N,-0.3960,N,-0.3970,N,9.6030,N,9.6030,N,9.6020,N
27-01-2010 00:00:00,0.00,0.0000,N,0.0000,N,0.0000,N,0.0000,N,-0.3860,N,-0.3930,N,-0.3970,N,9.6130,N,9.6060,N,9.6020,N
