Date,Depth,Max Discharge (m/s),QC,Mean Discharge (m/s),QC,Min Discharge (m/s),QC,Discharge (ML),QC,Max Stage Height CTF (m),QC,Mean Stage Height CTF (m),QC,Min Stage Height CTF (m),QC,Max Stage Height (m),QC,Mean Stage Height (m),QC,Min Stage Height (m),QC
01-01-2010 00:00:00,0.00,0.0150,N,0.0100,N,0.0080,N,0.8640,N,0.0360,N,0.0310,N,0.0280,N,10.0420,N,10.0370,N,10.0340,N
02-01-2010 00:00:00,0.00,0.0150,N,0.0100,N,0.0080,N,0.8810,N,0.0360,N,0.0310,N,0.0280,N,10.0420,N,10.0370,N,10.0340,N
03-01-2010 00:00:00,0.00,0.0150,N,0.0100,N,0.0080,N,0.8650,N,0.0360,N,0.0310,N,0.0280,N,10.0420,N,10.0370,N,10.0340,N
04-01-2010 00:00:00,0.00,0.0190,N,0.0110,N,0.0080,N,0.9380,N,0.0390,N,0.0320,N,0.0280,N,10.0450,N,10.0380,N,10.0340,N
05-01-2010 00:00:00,0.00,0.0180,N,0.0110,N,0.0080,N,0.9410,N,0.0380,N,0.0320,N,0.0290,N,10.0440,N,10.0380,N,10.0350,N
06-01-2010 00:00:00,0.00,0.0200,N,0.0130,N,0.0080,N,1.1170,N,0.0400,N,0.0340,N,0.0290,N,10.0460,N,10.0400,N,10.0350,N
07-01-2010 00:00:00,0.00,0.0200,N,0.0130,N,0.0090,N,1.1630,N,0.0400,N,0.0340,N,0.0300,N,10.0460,N,10.0400,N,10.0360,N
08-01-2010 00:00:00,0.00,0.0210,N,0.0160,N,0.0100,N,1.3600,N,0.0410,N,0.0370,N,0.0310,N,10.0470,N,10.0430,N,10.0370,N
09-01-2010 00:00:00,0.00,0.0210,N,0.0120,N,0.0080,N,1.0380,N,0.0410,N,0.0330,N,0.0290,N,10.0470,N,10.0390,N,10.0350,N
10-01-2010 00:00:00,0.00,0.0210,N,0.0140,N,0.0090,N,1.2320,N,0.0410,N,0.0350,N,0.0300,N,10.0470,N,10.0410,N,10.0360,N
11-01-2010 00:00:00,0.00,0.0160,N,0.0120,N,0.0070,N,1.0060,N,0.0370,N,0.0330,N,0.0270,N,10.0430,N,10.0390,N,10.0330,N
12-01-2010 00:00:00,0.00,0.0160,N,0.0100,N,0.0070,N,0.8800,N,0.0370,N,0.0310,N,0.0270,N,10.0430,N,10.0370,N,10.0330,N
13-01-2010 00:00:00,0.00,0.0270,N,0.0120,N,0.0060,N,1.0380,N,0.0450,N,0.0330,N,0.0260,N,10.0510,N,10.0390,N,10.0320,N
14-01-2010 00:00:00,0.00,0.0150,N,0.0100,N,0.0060,N,0.8410,N,0.0360,N,0.0300,N,0.0260,N,10.0420,N,10.0360,N,10.0320,N
15-01-2010 00:00:00,0.00,0.0200,N,0.0140,N,0.0080,N,1.2340,N,0.0400,N,0.0350,N,0.0280,N,10.0460,N,10.0410,N,10.0340,N
16-01-2010 00:00:00,0.00,0.0210,N,0.0130,N,0.0080,N,1.1590,N,0.0410,N,0.0340,N,0.0280,N,10.0470,N,10.0400,N,10.0340,N
17-01-2010 00:00:00,0.00,0.0270,N,0.0140,N,0.0070,N,1.2280,N,0.0450,N,0.0350,N,0.0270,N,10.0510,N,10.0410,N,10.0330,N
18-01-2010 00:00:00,0.00,0.0260,N,0.0190,N,0.0100,N,1.6550,N,0.0440,N,0.0390,N,0.0310,N,10.0500,N,10.0450,N,10.0370,N
19-01-2010 00:00:00,0.00,0.0270,N,0.0140,N,0.0060,N,1.1900,N,0.0450,N,0.0340,N,0.0250,N,10.0510,N,10.0400,N,10.0310,N
20-01-2010 00:00:00,0.00,0.0340,N,0.0200,N,0.0080,N,1.7150,N,0.0490,N,0.0390,N,0.0280,N,10.0550,N,10.0450,N,10.0340,N
21-01-2010 00:00:00,0.00,0.0340,N,0.0170,N,0.0080,N,1.4810,N,0.0490,N,0.0370,N,0.0280,N,10.0550,N,10.0430,N,10.0340,N
