Agency_Name,Program_Name,Station_ID,Site_Description,Tag,mAHD,Lat,Lon,Label
Department of Water and Environmental Regulation,Estuary,613027,613027,DWER-MURHAR,14.0000,-32.767665,115.772854,DWER-MURHAR
Department of Water and Environmental Regulation,Estuary,613031,613031,DWER-MURHAR,4.0000,-32.801987,115.745651,DWER-MURHAR
Department of Water and Environmental Regulation,Estuary,614003,614003,DWER-MURHAR,92.0000,-32.702735,115.970863,DWER-MURHAR
Department of Water and Environmental Regulation,Estuary,614063,614063,DWER-MURHAR,11.0000,-32.523343,115.829017,DWER-MURHAR
Department of Water and Environmental Regulation,Estuary,614065,614065,DWER-MURHAR,9.0000,-32.633531,115.87807,DWER-MURHAR
Department of Water and Environmental Regulation,Estuary,614068,614068,DWER-MURHAR,40.0000,-32.513122,115.97569,DWER-MURHAR
Department of Water and Environmental Regulation,Estuary,614094,614094,DWER-MURHAR,17.0000,-32.420889,115.871351,DWER-MURHAR
Department of Water and Environmental Regulation,Estuary,614120,614120,DWER-MURHAR,11.0000,-32.482343,115.819013,DWER-MURHAR
Department of Water and Environmental Regulation,Estuary,614121,614121,DWER-MURHAR,4.0000,-32.374193,115.835037,DWER-MURHAR
Department of Water and Environmental Regulation,Estuary,616011,616011,DWER-SWANCATCH,17.0000,-31.750532,116.068524,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616027,616027,DWER-SWANCATCH,17.0000,-32.092305,116.016772,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616076,616076,DWER-SWANCATCH,14.0000,-31.781685,116.022904,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616082,616082,DWER-SWANCATCH,16.0000,-31.924246,115.921949,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616084,616084,DWER-SWANCATCH,9.0000,-31.877703,115.959526,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616086,616086,DWER-SWANCATCH,14.0000,-31.900081,116.007611,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616087,616087,DWER-SWANCATCH,2.0000,-31.948283,115.919319,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616088,616088,DWER-SWANCATCH,9.0000,-31.862701,116.013985,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616092,616092,DWER-SWANCATCH,13.0000,-32.078355,115.978799,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616099,616099,DWER-SWANCATCH,9.0000,-31.817712,116.014051,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616178,616178,DWER-SWANCATCH,17.0000,-31.883961,116.09479,DWER-SWANCATCH
Department of Water and Environmental Regulation,Estuary,616189,616189,DWER-SWANCATCH,17.0000,-31.751071,116.02483,DWER-SWANCATCH
