Agency_Name,Program_Name,Station_ID,Site_Description,Tag,mAHD,Lat,Lon,Label
Department of Water and Environmental Regulation,CSMOORING,6147030,North Cockburn Sound 4,DWER-CS-MOORING,-22.2603,-32.15660018,115.7027292,DWER-CS-MOORING
Department of Water and Environmental Regulation,CSMOORING,6147031,South Cockburn Sound 13,DWER-CS-MOORING,-19.1526,-32.25080006,115.7283213,DWER-CS-MOORING
Department of Water and Environmental Regulation,CSMOORING,6147032,Eastern Margin Seagrass,DWER-CS-MOORING,-4.7447,-32.19228159,115.7452496,DWER-CS-MOORING
Department of Water and Environmental Regulation,CSMOORING,6147033,Mangles Bay,DWER-CS-MOORING,-1.0477,-32.27286493,115.7026804,DWER-CS-MOORING
Department of Water and Environmental Regulation,CSMOORING,6147034,South 2 - Cockburn Sound 11,DWER-CS-MOORING,-18.1561,-32.26240154,115.714178,DWER-CS-MOORING
Department of Water and Environmental Regulation,CSMOORING,6147035,Cockburn Sound - Desalination Plant,DWER-CS-MOORING,-16.6408,-32.2001199,115.7406544,DWER-CS-MOORING
Department of Water and Environmental Regulation,CSMOORING,6147036,North East - Garden Island Seagrass,DWER-CS-MOORING,-5.2807,-32.15743127,115.6793039,DWER-CS-MOORING
Department of Water and Environmental Regulation,CSMOORING,6147037,West Port,DWER-CS-MOORING,-8.2209,-32.18669751,115.7598478,DWER-CS-MOORING
Western Australian Marine Science Institution,WWMSP1,9021,PERTH AIRPORT,WAMSI-WWMSP1-WRF,11.0000,-31.9275,115.9764,WAMSI-WWMSP1-WRF
Western Australian Marine Science Institution,WWMSP1,9053,PEARCE RAAF,WAMSI-WWMSP1-WRF,42.0000,-31.6669,116.0189,WAMSI-WWMSP1-WRF
Western Australian Marine Science Institution,WWMSP1,9091,INNER DOLPHIN PYLON,WAMSI-WWMSP1-WRF,-5.0454,-31.9889,115.8311,WAMSI-WWMSP1-WRF
Western Australian Marine Science Institution,WWMSP1,9172,JANDAKOT AERO,WAMSI-WWMSP1-WRF,28.0000,-32.1011,115.8794,WAMSI-WWMSP1-WRF
Western Australian Marine Science Institution,WWMSP1,9178,GINGIN AERO,WAMSI-WWMSP1-WRF,79.0000,-31.4628,115.8642,WAMSI-WWMSP1-WRF
Western Australian Marine Science Institution,WWMSP1,9193,ROTTNEST ISLAND,WAMSI-WWMSP1-WRF,41.0000,-32.0069,115.5022,WAMSI-WWMSP1-WRF
Western Australian Marine Science Institution,WWMSP1,9214,OCEAN REEF,WAMSI-WWMSP1-WRF,4.0000,-31.7594,115.7278,WAMSI-WWMSP1-WRF
