"Site Ref","Program Site Ref","Collect Time","Collect Date","Collect Month","Collect Year","Program Code","Sample Number","Sample Type","Sampling Number","Primary CoC Number","Collection Method","Data Category","Depth measuring point","Sample Depth(s) (m)","Sample Depth (m)","Sample Depth To (m)","Comments","Security Level","Salin Sign","Salinity (ppt)","Salin Qual | Status","Cond Sign","Cond @ 25 deg C (uS/cm)","Cond Qual | Status","Temp Sign","Temperature (deg C)","Temp Qual | Status","DOconc Sign","O2-{DO conc} (mg/L)","DOconc Qual | Status","DO% Sign","O2-{DO %sat} (%)","DO% Qual | Status","pH Sign","pH (no units)","pH Qual | Status","Turb Sign","Turbidity (NTU)","Turb Qual | Status","Secchi Sign","Secchi depth (m)","Secchi Qual | Status","BotDep Sign","Bottom Depth (m)","BotDep Qual | Status","TN Sign","N (tot) {TN pTN} (ug/L)","TN Qual | Status","NOx-N Sign","N (sum sol ox) {NOx-N TON} (ug/L)","NOx-N Qual | Status","NH3/4-N Sign","NH3-N/NH4-N (sol) (ug/L)","NH3/4-N Qual | Status","DON Sign","N (sum sol org) {DON} (ug/L)","DON Qual | Status","TKN Sign","N (tot kjel) {TKN} (ug/L)","TKN Qual | Status","NO2-N Sign","NO2-N (sol) (ug/L)","NO2-N Qual | Status","NO3-N Sign","NO3-N (sol) (ug/L)","NO3-N Qual | Status","TP Sign","P (tot) {TP pTP} (ug/L)","TP Qual | Status","FRP Sign","PO4-P (sol react) {SRP FRP} (ug/L)","FRP Qual | Status","AlkTot Sign","Alkalinity (tot) (CaCO3) (ug/L)","AlkTot Qual | Status","DOC Sign","C (sol org) {DOC DOC as NPOC} (ug/L)","DOC Qual | Status","SiO2 Sign","SiO2 (sol react) (ug/L)","SiO2 Qual | Status","SiO2-Si Sign","SiO2-Si (sol react) (ug/L)","SiO2-Si Qual | Status","TSS Sign","Suspended Solids (Total) {TSS} (mg/L)","TSS Qual | Status","Chla(Lab) Sign","Chlorophyll a (by vol) (mg/L)","Chla(Lab) Qual | Status","Chlb(Lab) Sign","Chlorophyll b (by vol) (mg/L)","Chlb(Lab) Qual | Status","Chlc(Lab) Sign","Chlorophyll c (by vol) (mg/L)","Chlc(Lab) Qual | Status","ChlSmplVol Sign","Chlorophyll sample volume (mL)","ChlSmplVol Qual | Status","PhaeoA Sign","Phaeophytin a (by vol) (mg/L)","PhaeoA Qual | Status","Chl ug/L Sign","Chlorophyll a (in situ) (ug/L)","Chl ug/L Qual | Status","Chl RFU Sign","Chlorophyll a (in situ) (RFU)","Chl RFU Qual | Status","BGA-PC ug/L Sign","Phycocyanin (insitu) {BGA-PC} (ug/L)","BGA-PC ug/L Qual | Status","BGA-PC RFU Sign","Phycocyanin (insitu) {BGA-PC} (RFU)","BGA-PC RFU Qual | Status","Null reading","Cloud Sign","Cloud cover (%)","Cloud Qual | Status","Flow status","Tide status","WL SLE Sign","Water level (SLE) (m)","WL SLE Qual | Status","Wind Dir Sign","Wind direction (°)","Wind Dir Qual | Status","Wind Spd Sign","Wind speed (knot)","Wind Spd Qual | Status"
"6160118","CAV","10:33:34 AM","5/03/2024","3","2024","SG-E-SCESTUARY","","Standard sample (Min profile depth)","501966-LOG-0120","501966","Insitu","Instrument log","Water surface level","0.2","0.2","","","Unrestricted","","23.46","Good | Active","","37097","Good | Active","","26.067","Good | Active","","12.54","Good | Active","","176.6","Good | Active","","7.77","Good | Active","","2.71","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.42","Uncalibrated | Deactivated","","5.55","Uncalibrated | Deactivated","","1.26","Good | Deactivated","","1.32","Good | Deactivated","","","","","","","","","","","","","","",""
"6160119","REG","10:33:40 AM","26/02/2024","2","2024","SG-E-SCESTUARY","","Standard sample (Max profile depth)","501956-LOG-0105","501956","Insitu","Instrument log","Water surface level","2.6","2.6","","","Unrestricted","","22.94","Good | Active","","36350","Good | Active","","25.902","Good | Active","","6.58","Good | Active","","92.1","Good | Active","","7.34","Good | Active","","3.38","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.15","Uncalibrated | Deactivated","","6.23","Uncalibrated | Deactivated","","0.73","Good | Deactivated","","0.79","Good | Deactivated","","","","","","","","","","","","","","",""
"6160119","REG","10:34:17 AM","26/02/2024","2","2024","SG-E-SCESTUARY","","Standard sample (Bottom)","501956-LOG-0106","501956","Insitu","Instrument log","Water surface level","2.3","2.3","","","Unrestricted","","22.87","Good | Active","","36260","Good | Active","","25.888","Good | Active","","6.44","Good | Active","","90.2","Good | Active","","7.35","Good | Active","","3.18","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.76","Uncalibrated | Deactivated","","6.38","Uncalibrated | Deactivated","","0.74","Good | Deactivated","","0.8","Good | Deactivated","","","","","","","","","","","","","","",""
"6160119","REG","10:34:59 AM","26/02/2024","2","2024","SG-E-SCESTUARY","","Standard sample","501956-LOG-0107","501956","Insitu","Instrument log","Water surface level","2","2","","","Unrestricted","","22.54","Good | Active","","35779","Good | Active","","25.843","Good | Active","","6.77","Good | Active","","94.5","Good | Active","","7.43","Good | Active","","2.72","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.28","Uncalibrated | Deactivated","","13.7","Uncalibrated | Deactivated","","1.44","Good | Deactivated","","1.5","Good | Deactivated","","","","","","","","","","","","","","",""
"6160119","REG","10:35:15 AM","26/02/2024","2","2024","SG-E-SCESTUARY","","Standard sample","501956-LOG-0108","501956","Insitu","Instrument log","Water surface level","1.5","1.5","","","Unrestricted","","22.33","Good | Active","","35487","Good | Active","","26.062","Good | Active","","8.16","Good | Active","","114.2","Good | Active","","7.61","Good | Active","","3.91","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","259.56","Uncalibrated | Deactivated","","64.33","Uncalibrated | Deactivated","","5.77","Good | Deactivated","","5.83","Good | Deactivated","","","","","","","","","","","","","","",""
"6160119","REG","10:35:33 AM","26/02/2024","2","2024","SG-E-SCESTUARY","","Standard sample","501956-LOG-0109","501956","Insitu","Instrument log","Water surface level","1","1","","","Unrestricted","","22.14","Good | Active","","35232","Good | Active","","26.576","Good | Active","","8.93","Good | Active","","126","Good | Active","","7.7","Good | Active","","3.64","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","321.68","Uncalibrated | Deactivated","","79.73","Uncalibrated | Deactivated","","6.89","Good | Deactivated","","6.95","Good | Deactivated","","","","","","","","","","","","","","",""
"6160119","REG","10:36:07 AM","26/02/2024","2","2024","SG-E-SCESTUARY","","Standard sample (Surface)","501956-LOG-0110","501956","Insitu","Instrument log","Water surface level","0.5","0.5","","","Unrestricted","","22.13","Good | Active","","35210","Good | Active","","26.692","Good | Active","","9.07","Good | Active","","128.1","Good | Active","","7.67","Good | Active","","2.68","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.24","Uncalibrated | Deactivated","","21.37","Uncalibrated | Deactivated","","2.35","Good | Deactivated","","2.41","Good | Deactivated","","","","","","","","","","","","","","",""
"6160119","REG","10:36:32 AM","26/02/2024","2","2024","SG-E-SCESTUARY","","Standard sample (Min profile depth)","501956-LOG-0111","501956","Insitu","Instrument log","Water surface level","0.2","0.2","","","Unrestricted","","22.11","Good | Active","","35193","Good | Active","","26.725","Good | Active","","8.89","Good | Active","","125.7","Good | Active","","7.66","Good | Active","","2.5","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.87","Uncalibrated | Deactivated","","16.07","Uncalibrated | Deactivated","","1.98","Good | Deactivated","","2.04","Good | Deactivated","","","","","","","","","","","","","","",""
"6160119","REG","10:17:00 AM","5/03/2024","3","2024","SG-E-SCESTUARY","","Standard sample","501966-FLD-0011","501966","Insitu","Field obs / rdgs","Water surface level","","","","","Unrestricted","","","","","","","","","","","","","","","","","","","","","","","1.1","Good | Active","","2.7","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Good | Active","Stationary or Static","Flowing","","","","","90","Good | Active","","1.9","Good | Active"
"6160119","REG","10:17:31 AM","5/03/2024","3","2024","SG-E-SCESTUARY","","Standard sample (Max profile depth)","501966-LOG-0108","501966","Insitu","Instrument log","Water surface level","2.5","2.5","","","Unrestricted","","23.13","Good | Active","","36623","Good | Active","","25.787","Good | Active","","7.21","Good | Active","","100.8","Good | Active","","7.39","Good | Active","","3.27","Good | Active","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.38","Uncalibrated | Deactivated","","37.76","Uncalibrated | Deactivated","","3.25","Good | Deactivated","","3.31","Good | Deactivated","","","","","","","","","","","","","","",""
