AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program
dwerphyto_CS13,CS13,Cockburn Sound southern deep water,CS13,380207,6431054,-32.251,115.728,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CS4,CS4,Cockburn Sound northern end deep,CS4,376829,6441686,-32.155,115.694,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CS5,CS5,Cockburn Sound northern end deep,CS5,379308,6441958,-32.152,115.72,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CS6A,CS6A,"Outside Northern Harbour, (replaced CS6)",CS6A,382749,6442651,-32.146,115.757,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CS7,CS7,Jervoise Channel south of Southern Harbour,CS7,383323,6439972,-32.171,115.762,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CS8,CS8,Cockburn Sound central basin,CS8,379337,6436947,-32.198,115.72,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CS9,CS9,Kwinana Bulk Terminal (KBB2),CS9,383098,6435629,-32.21,115.76,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CS9A,CS9A,Kwinana Bulk Jetty (KBJ),CS9A,382367,6432396,-32.239,115.751,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CSCB,CSCB,Challenger Beach bank,CB,381133,6438605,-32.183,115.739,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CSG1,CSG1,Careening Bay HMAS Stirling,G1,377121,6433158,-32.231,115.696,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CSG2,CSG2,Garden Island central HMAS Stirling,G2,376039,6436793,-32.199,115.685,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CSG3,CSG3,Garden Island north HMAS Stirling,G3,375728,6441317,-32.158,115.682,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_CSSF,CSSF,Southern Flats shallow,SF,378716,6431322,-32.248,115.713,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_DESAL,DESAL,"Cockburn Sound Desalination Plant
Telemetered vertical profiler ",DESAL,381302.58,6436687.34,-32.2,115.741,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_MB,MB,Mangles Bay shallow near shore,MB,378085,6428341,-32.275,115.705,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_NCS4T,NCS4T,"Cockburn Sound northern end deep
Telemetered vertical profiler",NCS4T,376829,6441686,-32.155,115.694,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_NH3,NH3,Northern Harbour Jervoise Bay,NH3,383291,6443373,-32.14,115.763,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_S2CS11T,S2CS11T,"Mangles Bay deep water basin
Telemetered vertical profiler ",S2CS11T,378890,6429753,-32.262,115.714,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_SCS13T,SCS13T,"Cockburn Sound southern deep water
Telemetered vertical profiler ",SCS13T,380207,6431054,-32.251,115.728,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_WS4,WS4,Warnbro Sound central basin,WS4,379741,6421498,-32.337,115.722,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
dwerphyto_WSSB,WSSB,Warnbro Sound Safety Bay shallow,WSSB,378444,6424599,-32.309,115.709,DWER,Department of Water and Environmental Regulation,ECO_plankton,Phytoplankton cell counts,,,DWER CSMWQ PHY
csiro_511a,511a,511a,511a,-1,-1,-32.0581,115.7379,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_511b,511b,511b,511b,-1,-1,-32.0502,115.7322,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_511c,511c,511c,511c,-1,-1,-32.0004,115.5522,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_511d,511d,511d,511d,-1,-1,-31.9981,115.8344,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_537a,537a,537a,537a,-1,-1,-32.602,115.712,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_537b,537b,537b,537b,-1,-1,-32.575,115.762,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_537c,537c,537c,537c,-1,-1,-32.055,115.735,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_537d,537d,537d,537d,-1,-1,-31.9581,115.7669,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_537e,537e,537e,537e,-1,-1,-31.952,115.859,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_559a,559a,559a,559a,-1,-1,-32.0581,115.7379,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_559b,559b,559b,559b,-1,-1,-32.0502,115.7322,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_559c,559c,559c,559c,-1,-1,-32.0004,115.5522,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_559d,559d,559d,559d,-1,-1,-31.9981,115.8344,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_563a,563a,563a,563a,-1,-1,-32.0581,115.7379,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_563b,563b,563b,563b,-1,-1,-31.9981,115.8344,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_567a,567a,567a,567a,-1,-1,-32.0581,115.7379,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_567b,567b,567b,567b,-1,-1,-32.0502,115.7322,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_567c,567c,567c,567c,-1,-1,-32.0004,115.5522,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_567d,567d,567d,567d,-1,-1,-31.9981,115.8344,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597a,597a,597a,597a,-1,-1,-32.9697,114.9126,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
csiro_597b,597b,597b,597b,-1,-1,-32.8911,114.9458,CSIRO,Commonwealth Scientific and Industrial Research Organisation,ECO_plankton,Phytoplankton cell counts,,,CSIRO APD
