fid,HydroID,HydroCode,StateBoreI,StatePipeI,StateTerri,Agency,WCode,BoreDepth,DrilledDep,Status,DrilledDat,HGUID,HGUNumber,HGUName,NafHGUNumb,AquiferTyp,FType,Latitude,Longitude,Easting,Northing,Projection,Projecti_1,CoordMetho,HeightDatu,RefElev,RefElevDes,RefElevMet,TsRefElev,TsRefElevD,TsRefElevM,LandElev,LandElevMe,IsMultiPip,BoreLineCo,WorksID,LicenceExt,LicenceE_1,LicenceUse,FTypeClass,Constructi,LithLog,Hydrostrat,WaterLevel,Salinity,WaterCount,WaterDateM,WaterDat_1,SalinityCo,SalinityDa,Salinity_1
36,50035253,"61404016","61404016",,5,6,7,24.000000000000000,24.000000000000000,UNK,1998/01/19,51000394,1394,Tamala Limestone,100030,0,UNK,-32.149844199999997,115.777894599999996,384750.000000000000000,6442301.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Unknown,"1","1","1","1","0",1,1998/01/19,1998/01/19,0,,
87,50034744,"61403507","61403507",,5,6,7,14.000000000000000,14.000000000000000,UNK,1980/02/15,-59999999,-9999,Unknown,-9999,0,MON,-32.190502500000001,115.776216399999996,384643.000000000058208,6437792.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Monitoring,"1","0","0","0","0",0,,,0,,
167,50040305,"61421563","61421563",,5,6,7,0.000000000000000,0.000000000000000,UNK,,-59999999,-9999,Unknown,-9999,0,UNK,-32.215871999999997,115.794403399999993,386388.999999999941792,6434999.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Unknown,"1","0","0","0","0",0,,,0,,
168,50040307,"61421565","61421565",,5,6,7,0.000000000000000,0.000000000000000,UNK,,-59999999,-9999,Unknown,-9999,0,UNK,-32.216327999999997,115.794927999999999,386439.000000000058208,6434949.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Unknown,"1","0","0","0","0",0,,,0,,
169,50040320,"61421578","61421578",,5,6,7,0.000000000000000,0.000000000000000,UNK,,-59999999,-9999,Unknown,-9999,0,UNK,-32.209928099999999,115.785993599999998,385588.999999999941792,6435649.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Unknown,"1","0","0","0","0",0,,,0,,
170,50040324,"61421582","61421582",,5,6,7,0.000000000000000,0.000000000000000,UNK,,-59999999,-9999,Unknown,-9999,0,UNK,-32.208869200000002,115.793169599999999,386264.000000000000000,6435774.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Unknown,"1","0","0","0","0",0,,,0,,
171,50040329,"61421587","61421587",,5,6,7,0.000000000000000,0.000000000000000,UNK,,-59999999,-9999,Unknown,-9999,0,UNK,-32.198607799999998,115.781369900000001,385139.000000000058208,6436899.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Unknown,"1","0","0","0","0",0,,,0,,
172,50040338,"61421596","61421596",,5,6,7,0.000000000000000,0.000000000000000,UNK,,-59999999,-9999,Unknown,-9999,0,UNK,-32.201825800000002,115.787692600000000,385739.000000000058208,6436549.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Unknown,"1","0","0","0","0",0,,,0,,
173,50040339,"61421597","61421597",,5,6,7,0.000000000000000,0.000000000000000,UNK,,-59999999,-9999,Unknown,-9999,0,UNK,-32.201830800000003,115.788223000000002,385788.999999999941792,6436549.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Unknown,"1","0","0","0","0",0,,,0,,
174,50040342,"61421600","61421600",,5,6,7,0.000000000000000,0.000000000000000,UNK,,-59999999,-9999,Unknown,-9999,0,UNK,-32.215871000000000,115.794297299999997,386379.000000000058208,6434999.000000000000000,1,50,UNK,AHD,0.000000000000000,NGS,UNK,0.000000000000000,UNK,UNK,0.000000000000000,UNK,0,,0,0,0.000000000000000,0,Unknown,"1","0","0","0","0",0,,,0,,
